"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0.131763703972847,0.674708290883692,0.0790797901403437,0.00631783837595165,0.0332677076504201,0.00357030207537093,3
3,0.122417074926941,0.710304425983857,0.0705819260801594,0.00613264564250983,0.0329989240464936,0.00340756586431335,3
4,0.121372346920866,0.713866549081097,0.0694338899607601,0.00623524261800613,0.0335356168842351,0.00338917399934685,3
5,0.120963410939539,0.71516569569117,0.0688293870231628,0.00609915096779938,0.0325691664035084,0.0032401145867251,3
6,0.120805377184386,0.71540615799281,0.0684283540217322,0.00619418030905227,0.0321961084536512,0.0032926094928951,3
7,0.120915804965464,0.714556468859644,0.0682579419497755,0.0063797907399956,0.0330667766015956,0.00342057771014723,3
8,0.121015797844755,0.713908921462554,0.0681327887122896,0.00631804405972701,0.0322864239370601,0.0033288779467491,3
9,0.121203915735839,0.712756850506929,0.0679968805469247,0.00638378636502555,0.0328198997148695,0.00337256389320493,3
10,0.121553911769594,0.710970988626886,0.0680049564360584,0.00641638002457851,0.0328138950010801,0.00341444866285579,3
11,0.121877186768734,0.709364883433961,0.0680924552317878,0.00633846180071108,0.0321731657760028,0.00341372360881228,3
