"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0.126420482503435,0.695054842709931,0.0730128616603854,0.00660893682041821,0.035128998248533,0.0036041874910972,2
2,0.122118167729831,0.711567757053025,0.0693116273232839,0.00622421096293153,0.0328786127217793,0.00336535894341204,2
3,0.120441834614404,0.717966835590117,0.067766456924232,0.00603893817498902,0.0321677488300668,0.00329440237724335,2
4,0.119824062686277,0.720200804132623,0.0670865020462679,0.00590652651721274,0.0314664584810891,0.0031906880162736,2
5,0.119580912295389,0.720826249561494,0.0666265595979132,0.00606504560468325,0.0317973168813355,0.00320892226509708,2
6,0.11964510215162,0.720118794060831,0.0664095695344879,0.00610203290625766,0.0320930477708515,0.00323308932918887,2
7,0.11972110124415,0.719584551699506,0.0662204798116725,0.00591972927636308,0.0315052526339084,0.00307282608203576,2
8,0.119817802934997,0.718909347259976,0.0660581189847623,0.00607751632984935,0.0320107651692101,0.0031138396505769,2
9,0.120000505999819,0.717839788093422,0.0660038104914495,0.00601688296539546,0.0319593575178392,0.0031010139162488,2
10,0.120326602790693,0.716238108207042,0.0659871215637553,0.0061155521502058,0.0323012716664777,0.00309050556162306,2
