"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.967480240647103,0.852992776057792,0.923134796238245,0.898696131213221,0.776721071488862,0.0049720061251319,0.0262710209683855,0.0150571479799944,0.0105515472818249,0.0231730853821412,FALSE,0.1,TRUE
"tree",FALSE,50,0.967943712776317,0.859670450636395,0.920752351097179,0.899472058762155,0.77901431184527,0.00475263618883205,0.0247390328003333,0.0149609420171083,0.00934004893524028,0.0202748918540149,FALSE,0.1,TRUE
"rules",FALSE,100,0.968036135886462,0.852169246646027,0.925705329153605,0.900084721004966,0.779482389847455,0.0048402542783548,0.0252654031222527,0.0137191882508199,0.0107539135590216,0.0237618600242717,FALSE,0.1,TRUE
"tree",FALSE,100,0.968368085682274,0.857905744754042,0.922633228840125,0.900083635908351,0.780059350194877,0.00486683841747267,0.0272738447770838,0.0147094978830401,0.0104910458924891,0.0231475681702656,FALSE,0.1,TRUE
"rules",FALSE,50,0.967098155678704,0.856270381836945,0.92269592476489,0.899549851842578,0.778808590195745,0.00520463342515085,0.0248175712839287,0.0141560417881588,0.00980708906122779,0.0215219861351666,FALSE,0.25,TRUE
"tree",FALSE,50,0.967288194208553,0.860146542827657,0.921818181818182,0.90032561245357,0.780796606323332,0.00529602078148545,0.0240307686190669,0.0134409599440757,0.0098454680506004,0.0216634484771511,FALSE,0.25,TRUE
"rules",FALSE,100,0.967757241465579,0.854633642930857,0.923824451410658,0.899713367555611,0.778962172962191,0.00500071108444314,0.0255015061891051,0.0137191882508199,0.00911584588078272,0.0201991269410601,FALSE,0.25,TRUE
"tree",FALSE,100,0.967850090528429,0.858740282077743,0.92307210031348,0.900652310003756,0.781324173827609,0.0053793179144385,0.0249041150392256,0.01393616090276,0.0105381255893377,0.0232239278466731,FALSE,0.25,TRUE
"rules",FALSE,50,0.966816212730486,0.855091159270726,0.923197492163009,0.899467384499812,0.778468398012061,0.00682093700474447,0.02931333375066,0.0137191882508199,0.0128492809605245,0.028696789556133,TRUE,0.1,TRUE
"tree",FALSE,50,0.967518423263272,0.85896181630547,0.922131661442006,0.900121113476065,0.780225780699666,0.00649535661261551,0.0285538611129114,0.014109923615869,0.0138541866251661,0.0307362555282392,TRUE,0.1,TRUE
"rules",FALSE,100,0.967405766860448,0.850285517715858,0.925203761755486,0.899099703685155,0.777220553717558,0.00680932905815392,0.0290465728070104,0.0139044655034316,0.0129339763641288,0.0288727353671586,TRUE,0.1,TRUE
"tree",FALSE,100,0.968103720022904,0.860013759889921,0.922507836990596,0.900733358374024,0.781590586760583,0.00649471428976552,0.0288969346902157,0.0143170559446041,0.0145217483564846,0.0322044669896681,TRUE,0.1,TRUE
"rules",FALSE,50,0.967162837944945,0.854272445820433,0.923385579937304,0.899306957138684,0.778173608267534,0.0059076011964947,0.0214454393740762,0.0163706721487446,0.010394364573218,0.0221552662923284,FALSE,0.1,FALSE
"tree",FALSE,50,0.967077458690675,0.858255933952528,0.922633228840125,0.900205250198239,0.780436933618504,0.00580675564645916,0.021762365245257,0.0169281366309118,0.011505323700054,0.0245720646808103,FALSE,0.1,FALSE
"rules",FALSE,100,0.967719766254409,0.852521499828001,0.92551724137931,0.900083802846292,0.779597064363938,0.00593938877976022,0.0213165054874293,0.0164854252485447,0.0110271224698288,0.0235939615792817,FALSE,0.1,FALSE
"tree",FALSE,100,0.967375656856814,0.856266941864465,0.923761755485893,0.900246984683444,0.780326318396987,0.00573044865011216,0.0212120853706879,0.0168925578319689,0.0119731780205243,0.0256463177597502,FALSE,0.1,FALSE
"rules",FALSE,50,0.967229106480628,0.850992088063296,0.925141065830721,0.89930411919369,0.777798616324526,0.00586962425469323,0.0264057468561622,0.0171423985458418,0.0131775514261005,0.028772585736258,TRUE,0.1,FALSE
"tree",FALSE,50,0.967260100740511,0.853342965256278,0.924326018808777,0.899589583072493,0.778629630786379,0.005801068477485,0.0249616759297679,0.0164543745213912,0.0122462462627511,0.0267290149039402,TRUE,0.1,FALSE
"rules",FALSE,100,0.967957852249408,0.849932576539388,0.928150470219436,0.900896206335295,0.780957064499542,0.00590625758669416,0.0278095542636347,0.0171564316738605,0.0141320124831179,0.0310496509991852,TRUE,0.1,FALSE
"tree",FALSE,100,0.96775932485957,0.85252356381149,0.924200626959248,0.899221902257836,0.777805038131838,0.0055223436170058,0.0251112692173112,0.0173291511978357,0.0131245355823527,0.02851468680227,TRUE,0.1,FALSE
"rules",FALSE,50,0.966640248972052,0.849827313381493,0.925203761755486,0.898937022661825,0.776936732631409,0.00574672423211162,0.024393794675247,0.0168755722052599,0.0123133310638087,0.0266544869321889,TRUE,0.25,FALSE
"tree",FALSE,50,0.966388890506431,0.853578947368421,0.923448275862069,0.899100121030007,0.77767364861791,0.00635903150707203,0.0214366099739105,0.0160481223920258,0.0121423365168415,0.026105138573413,TRUE,0.25,FALSE
"rules",FALSE,100,0.967583506679909,0.85053044375645,0.927021943573668,0.900366595718042,0.779978619706335,0.00571349424213684,0.0246193659356222,0.0181250340394317,0.0135138896458736,0.029195237509112,TRUE,0.25,FALSE
"tree",FALSE,100,0.96701429044367,0.852984520123839,0.925329153605016,0.900120195317391,0.779717036814212,0.00601490804073443,0.0214163848302344,0.0164626604417263,0.0126806052637422,0.027323446181872,TRUE,0.25,FALSE
