"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.973705151223994,0.856165806673547,0.936990595611285,0.908826760151914,0.797915505861355,0.00480787972170558,0.0311415765772545,0.0140513851229174,0.0121364703209313,0.0273349865384385,FALSE,0.1,TRUE
"tree",FALSE,50,0.973524509534331,0.871276229790162,0.930470219435737,0.909848169942824,0.801518609901519,0.00506702203072096,0.0279860607061846,0.0162665789421568,0.0122023308018684,0.0267225435151709,FALSE,0.1,TRUE
"rules",FALSE,100,0.974151090277171,0.859089095287238,0.938432601880878,0.910788030549643,0.802262066464991,0.00473964631377924,0.0322272809716769,0.0143690703434337,0.0118890377454446,0.0268660393414077,FALSE,0.1,TRUE
"tree",FALSE,100,0.974140562236004,0.872216030271758,0.93141065830721,0.910788948708318,0.803542414211776,0.00484325672776165,0.029488628625923,0.0165107096579558,0.0126153280252434,0.0276895454584645,FALSE,0.1,TRUE
"rules",FALSE,50,0.973129653533305,0.863898864809082,0.937680250783699,0.911968782605067,0.805192713631645,0.00492083839233078,0.0297974585544466,0.0147394622609734,0.011382022067939,0.0256105150652274,FALSE,0.25,TRUE
"tree",FALSE,50,0.97308130736208,0.871863777089783,0.929090909090909,0.909149701598431,0.800089361534652,0.00474321543913926,0.0276503922939729,0.0140319609468456,0.0113327113522413,0.0253026261641619,FALSE,0.25,TRUE
"rules",FALSE,100,0.973688637199366,0.859087719298246,0.938244514106583,0.910661408121531,0.801993969809135,0.00493084628133811,0.029975276011623,0.0126546091813209,0.0112151365028552,0.0255677870357254,FALSE,0.25,TRUE
"tree",FALSE,100,0.973596987274259,0.874090127278982,0.930721003134796,0.910988105671717,0.804104492063097,0.00482686055593016,0.0266762993638163,0.0138066189068231,0.0112252592786744,0.0249667766661913,FALSE,0.25,TRUE
"rules",FALSE,50,0.973494813621428,0.854275197798418,0.939122257053292,0.909557864863737,0.799288398042149,0.00526721553404558,0.026811573781314,0.0130883824302461,0.0121648301300611,0.0271687660575856,TRUE,0.1,TRUE
"tree",FALSE,50,0.973126556479711,0.871273477812177,0.930658307210031,0.909966111598013,0.801728941580691,0.00508341924354635,0.0283811415485668,0.0147258496476952,0.0127762072272399,0.0283139049393686,TRUE,0.1,TRUE
"rules",FALSE,100,0.973734271291974,0.853804609563123,0.93987460815047,0.909884812820834,0.799901916270172,0.00541751193982351,0.0294628234177444,0.0134451371205044,0.012660307931486,0.0284439104022094,TRUE,0.1,TRUE
"tree",FALSE,100,0.973670055956167,0.870215342277262,0.933291536050157,0.911314052001169,0.804397943740082,0.00518839597867699,0.030380489980791,0.0145394528528101,0.0128203948147307,0.0285712956903423,TRUE,0.1,TRUE
"rules",FALSE,50,0.973173213937172,0.856974888200894,0.937742946708464,0.909600016693794,0.799680977480866,0.0051622187648277,0.0260162393370256,0.0156420889794625,0.0122494208362799,0.0269612655404504,FALSE,0.1,FALSE
"tree",FALSE,50,0.97307284222604,0.869170278637771,0.930344827586207,0.909027836901632,0.799633227912556,0.00492254412057883,0.0231161891304599,0.0140376767298671,0.0109935764276159,0.0240044377366381,FALSE,0.1,FALSE
"rules",FALSE,100,0.973695677820157,0.861893360853113,0.937931034482759,0.911437669546346,0.803992022624764,0.00513670889893367,0.0237437810054743,0.0160594904406996,0.0126137387700533,0.027489415500047,FALSE,0.1,FALSE
"tree",FALSE,100,0.973605283107578,0.871868593051256,0.931786833855799,0.910908476273945,0.803814248710222,0.00486836168286322,0.0216796916586416,0.0154816424818086,0.0114645041927057,0.0247364371410115,FALSE,0.1,FALSE
"rules",FALSE,50,0.973313639221294,0.856273133814929,0.938181818181818,0.909639580985769,0.799644124353978,0.00555541351063011,0.0273614771971504,0.0132551046206001,0.0124537833375554,0.0279256370359138,TRUE,0.1,FALSE
"tree",FALSE,50,0.97353748329888,0.869287237702098,0.932664576802508,0.910580025875381,0.802852428517043,0.00551638051611433,0.0236143092341155,0.0138933550309526,0.0113726479166541,0.0249972923320423,TRUE,0.1,FALSE
"rules",FALSE,100,0.974277822529771,0.856623323013416,0.939623824451411,0.91070189057218,0.801906011777612,0.00545491115379171,0.0278877304274726,0.0146188247017257,0.0126518780501648,0.0282261547591349,TRUE,0.1,FALSE
"tree",FALSE,100,0.974323635630351,0.871047127622979,0.932664576802508,0.911192020366429,0.804274270811789,0.00534381311559674,0.0256864200545357,0.0145559956421555,0.0127015458735904,0.0280033757317903,TRUE,0.1,FALSE
"rules",FALSE,50,0.974128194510494,0.859780529755762,0.941065830721003,0.912742289553858,0.806446664508659,0.00501157516972474,0.0259598559909259,0.0132544994061341,0.0108212300676072,0.0241412392386139,TRUE,0.25,FALSE
"tree",FALSE,50,0.97360344665832,0.870928104575163,0.933291536050157,0.911559617712115,0.805019504078764,0.00485446524630234,0.0247222892603632,0.0137453299369464,0.0107465593048641,0.0236353245589404,TRUE,0.25,FALSE
"rules",FALSE,100,0.974580342767916,0.859435156518748,0.942257053291536,0.913397520971579,0.807765921510424,0.00484421817797086,0.028096210324903,0.0134212500295371,0.0106507021235294,0.0239080304883299,TRUE,0.25,FALSE
"tree",FALSE,100,0.974262955162816,0.871744066047472,0.932789968652038,0.911518133633822,0.804976887421363,0.00487207385461925,0.0276710275129134,0.0137178725490063,0.0112419615423737,0.0249422722985847,TRUE,0.25,FALSE
