"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.974136758855772,0.860137598899209,0.938056426332288,0.910909060556738,0.802633345790907,0.0049897282585351,0.0279715891962488,0.0127227306064506,0.010848777618639,0.0244115656913443,FALSE,0.1,TRUE
"tree",FALSE,50,0.974396903809096,0.877144134846921,0.929467084639498,0.911236091982805,0.804880591023997,0.00512279629777172,0.0271842253350063,0.0128745691997,0.0115626953871301,0.0257424787270448,FALSE,0.1,TRUE
"rules",FALSE,100,0.974884098808087,0.86494599243206,0.938808777429467,0.913073995242269,0.80758207320614,0.00472412539567627,0.0281949648432824,0.0128275960877515,0.01152094534914,0.025900218794309,FALSE,0.1,TRUE
"tree",FALSE,100,0.975091130154971,0.87984176126591,0.929905956112853,0.91246175034431,0.807658907096104,0.00490775568221478,0.0280081566210593,0.0134759782195641,0.0120080960112832,0.0266297192687748,FALSE,0.1,TRUE
"rules",FALSE,50,0.973721955327806,0.860491228070175,0.93692789968652,0.910294061182755,0.801381818798354,0.0048485409645982,0.0280805545555252,0.012660788383488,0.0112895736444914,0.0254397576564614,FALSE,0.25,TRUE
"tree",FALSE,50,0.973246789448882,0.876671482628139,0.929467084639498,0.911069154041985,0.804479885036067,0.00488013714704796,0.0270308884753166,0.0123335775673268,0.0101839892913474,0.022844137285521,FALSE,0.25,TRUE
"rules",FALSE,100,0.974255647108428,0.859554179566563,0.937742946708464,0.910498643629231,0.801719471190155,0.00448113164155807,0.0274460679583523,0.0121494350805586,0.0105126558112681,0.0237847243279948,FALSE,0.25,TRUE
"tree",FALSE,100,0.973914559279137,0.877491572067423,0.930156739811912,0.911804933016151,0.806091306311077,0.00469419597315994,0.0258475602642731,0.012539824690993,0.0101160744165566,0.0225718147777988,FALSE,0.25,TRUE
"rules",FALSE,50,0.973630335596814,0.859315445476436,0.939310344827586,0.911436584449731,0.803640484821651,0.00509087238024108,0.0278866507984909,0.0118274088360937,0.0103254627011323,0.0234823055732456,TRUE,0.1,TRUE
"tree",FALSE,50,0.973507214776138,0.877247334021328,0.928965517241379,0.910945536496807,0.804275385752229,0.0054529466419686,0.0274531032099777,0.0125169337471029,0.0116152870243827,0.0259141166589626,TRUE,0.1,TRUE
"rules",FALSE,100,0.974399213658955,0.862242174062608,0.940188087774295,0.913028421184425,0.807232855846039,0.00493760417500766,0.0278017850622548,0.0123756205638448,0.0101894768193856,0.0230515689187549,TRUE,0.1,TRUE
"tree",FALSE,100,0.974138600696837,0.877945648434812,0.931034482758621,0.912538040983265,0.807623661325389,0.00536698690848193,0.0281134210818037,0.0124428517594714,0.0116046014135615,0.0259526569461547,TRUE,0.1,TRUE
"rules",FALSE,50,0.973718128223626,0.861898864809082,0.938056426332288,0.911521138516756,0.804128118867725,0.00585557275098123,0.0239112100833984,0.0137820487161299,0.0117390518048183,0.0258500024261198,FALSE,0.1,FALSE
"tree",FALSE,50,0.973455435102601,0.873507395940832,0.93153605015674,0.911316639539251,0.804747061113616,0.00575639628688566,0.0248574251414543,0.0131993087275538,0.0127136848126916,0.0280237882450216,FALSE,0.1,FALSE
"rules",FALSE,100,0.974203704602338,0.862601995184038,0.938934169278997,0.912337047702517,0.805895621224473,0.00574063390462258,0.0246725537469381,0.0143897119630946,0.0130877679037849,0.0289050933773516,FALSE,0.1,FALSE
"tree",FALSE,100,0.973982317031746,0.875854145166839,0.931034482758621,0.911807186678352,0.805999863878369,0.00579403423891464,0.023417105330689,0.0139762530535846,0.0121399553684051,0.026598153954006,FALSE,0.1,FALSE
"rules",FALSE,50,0.974419821142998,0.864008255933952,0.937680250783699,0.912009682400568,0.805302881468484,0.0046993983029107,0.0266623452137831,0.0134443912913288,0.0116353853639987,0.0259400741168912,TRUE,0.1,FALSE
"tree",FALSE,50,0.974058737260509,0.874211214310285,0.930971786833856,0.911193606276867,0.804528399597642,0.0045619589436747,0.0275741404087415,0.0134272257862078,0.011578492641656,0.0257038214139167,TRUE,0.1,FALSE
"rules",FALSE,100,0.974728635775929,0.860371517027864,0.938871473354232,0.911520053420141,0.803981369659596,0.00465241584865999,0.0242725907640029,0.0138790570687969,0.0113371587125982,0.0250469639172389,TRUE,0.1,FALSE
"tree",FALSE,100,0.974623307916358,0.875730994152047,0.93128526645768,0.911927799340595,0.806225356469309,0.00434337302311573,0.0238420378253337,0.0137278102842425,0.0110432936934382,0.0242540490243698,TRUE,0.1,FALSE
"rules",FALSE,50,0.973875491328358,0.85709047127623,0.940438871473354,0.911394516088644,0.803375340112397,0.00463394176233368,0.028127634382632,0.0139475248566032,0.0112012464345711,0.0251470007654677,TRUE,0.25,FALSE
"tree",FALSE,50,0.9734342054041,0.874548331613347,0.930470219435737,0.910985184257752,0.804144287243162,0.00522475928060907,0.0259695968920547,0.013725618755296,0.012226427896399,0.0270875306485231,TRUE,0.25,FALSE
"rules",FALSE,100,0.974488619514241,0.858501547987616,0.940940438871473,0.912211927715872,0.805214419834773,0.0047319541594738,0.0280857713949566,0.0139239235058191,0.0121361336344255,0.0271677624664534,TRUE,0.25,FALSE
"tree",FALSE,100,0.974234504757191,0.876547643618851,0.930721003134796,0.911844246901214,0.806115074611083,0.00491709438092598,0.0258759293617371,0.0142779207943841,0.0123106740946855,0.0271295927052829,TRUE,0.25,FALSE
