"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.977583333063743,0.887446164430685,0.944451410658307,0.924591294186386,0.833566992136132,0.00421140901404972,0.0232533461785095,0.0118321556677988,0.00996583041821326,0.0220487256580065,FALSE,0.1,TRUE
"tree",FALSE,50,0.977460674860056,0.894598555211558,0.942758620689655,0.92597971704019,0.8370248701954,0.00455959144055094,0.0220415236438872,0.0112904188580726,0.00900475098842824,0.0199211244645214,FALSE,0.1,TRUE
"rules",FALSE,100,0.978227376789136,0.888855177158583,0.945329153605016,0.925654021117649,0.835890414246753,0.00401882302157348,0.0225264847074034,0.0103903824782221,0.00800967238330498,0.0179334444838758,FALSE,0.1,TRUE
"tree",FALSE,100,0.978020140553609,0.892021327829377,0.942068965517241,0.924631526230124,0.834020080307209,0.00444100002946708,0.0203688718715373,0.0112089487225781,0.00934632036006717,0.0205574023653288,FALSE,0.1,TRUE
"rules",FALSE,50,0.977772342836931,0.890041967664259,0.946583072100313,0.926879512541213,0.83851703369767,0.005325926556399,0.0267545215503352,0.0104634711090087,0.0100014959721558,0.02249409020114,FALSE,0.25,TRUE
"tree",FALSE,50,0.977754665260484,0.892848985208118,0.943887147335423,0.92610174867493,0.837127812063809,0.0049438135372147,0.0230329765642954,0.0102561419530665,0.00963789155330129,0.0214676880354143,FALSE,0.25,TRUE
"rules",FALSE,100,0.978265291971708,0.889336773305814,0.948150470219436,0.927655189683235,0.840092530343961,0.0050812322341005,0.0274149475192385,0.0108446530855439,0.0111427290591222,0.0249621598572335,FALSE,0.25,TRUE
"tree",FALSE,100,0.978353836216332,0.894729274165807,0.943761755485893,0.926674429280915,0.83847110990413,0.00482924880981086,0.024290337313374,0.0111761584927674,0.010212704569181,0.0226839028528,FALSE,0.25,TRUE
"rules",FALSE,50,0.977910420528548,0.88322600619195,0.946896551724138,0.92471207378657,0.833484647273977,0.00440346425722234,0.0237696575405083,0.0117021158573786,0.011032376346344,0.0245976781065619,TRUE,0.1,TRUE
"tree",FALSE,50,0.977742398900934,0.893190230478156,0.943573667711599,0.926019949083928,0.837020544655808,0.0044707778551629,0.0216951361004586,0.0124750454788931,0.00969214756430689,0.0213206325588826,TRUE,0.1,TRUE
"rules",FALSE,100,0.97837712881996,0.888143102855177,0.948087774294671,0.927203121739493,0.839071986858241,0.00439628034141541,0.0248057163194105,0.0108066759810184,0.0109179769841583,0.0244872385345851,TRUE,0.1,TRUE
"tree",FALSE,100,0.978112633757237,0.892723082215342,0.944075235109718,0.92618313092108,0.837306013331259,0.00436568957691024,0.0230982359697641,0.0118036460435544,0.00997489924736993,0.0221003607865228,TRUE,0.1,TRUE
"rules",FALSE,50,0.977535900264522,0.885115239078087,0.946771159874608,0.925287759275489,0.834866174841225,0.00503643031132804,0.0228111888715682,0.0125310254304252,0.0112493101796532,0.0248925260254368,FALSE,0.1,FALSE
"tree",FALSE,50,0.977427758960373,0.892037151702786,0.944137931034483,0.925982554985184,0.836874828675643,0.00495989165774296,0.021194579276736,0.0130515560332724,0.0108855399000506,0.0238773240909616,FALSE,0.1,FALSE
"rules",FALSE,100,0.978220999360532,0.887108359133127,0.946081504702194,0.925532239889821,0.835545332780512,0.0048941631325461,0.0210889484254881,0.0124750454788931,0.0108005690325124,0.0237937129423567,FALSE,0.1,FALSE
"tree",FALSE,100,0.977839825607414,0.892503611971104,0.944451410658307,0.926349734986019,0.837667768141792,0.00505691962678135,0.0208102615137247,0.0120671167348674,0.0105030273735291,0.0230825163317983,FALSE,0.1,FALSE
"rules",FALSE,50,0.97786041907276,0.887572067423461,0.94551724137931,0.925326321939819,0.835143574053338,0.00507675222847534,0.0224159470208623,0.013131216027069,0.0102021318744439,0.022426207885391,TRUE,0.1,FALSE
"tree",FALSE,50,0.977701130014784,0.892951496388029,0.943322884012539,0.925774466841952,0.836497788785806,0.00522249120070077,0.021721843240631,0.013007689271568,0.0115637585772524,0.0254017253005357,TRUE,0.1,FALSE
"rules",FALSE,100,0.978514848495632,0.887450980392157,0.946645768025078,0.926021368056425,0.836596313076689,0.00490693069011345,0.0208349732979982,0.0123861494933957,0.0104883279797898,0.0230657603966043,TRUE,0.1,FALSE
"tree",FALSE,100,0.978068453295634,0.891667698658411,0.943197492163009,0.925244355410876,0.835279051202451,0.00515781822661301,0.0205705274360605,0.0115508384739121,0.0101322315362207,0.0223264399000045,TRUE,0.1,FALSE
"rules",FALSE,50,0.978220437534305,0.887919504643963,0.946708463949843,0.926223279495847,0.837021462537194,0.00443949566487323,0.0251705663630991,0.0128862468158873,0.0105325239434288,0.0233609350147965,TRUE,0.25,FALSE
"tree",FALSE,50,0.978058844018276,0.890257997936016,0.944263322884013,0.925446099912358,0.835576027871131,0.00444634114016464,0.0242897345232829,0.0128283777768393,0.0109789482748947,0.0242902158448432,TRUE,0.25,FALSE
"rules",FALSE,100,0.97900069985647,0.888275197798418,0.947648902821317,0.926959225407955,0.838606582451146,0.00437557656067681,0.024096288877389,0.0129367280122295,0.0104632954620962,0.0231267590694836,TRUE,0.25,FALSE
"tree",FALSE,100,0.978565436579956,0.892605435156519,0.944639498432602,0.92650857643671,0.837965834013672,0.00430023273161642,0.0237044663985223,0.0112334339506266,0.0104944250610988,0.0233139913675142,TRUE,0.25,FALSE
