"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.976456546893079,0.892832473340213,0.941003134796238,0.924223529902759,0.833215811265513,0.00498631443437058,0.0272742142935098,0.0145759597963168,0.0109772176654365,0.0242777733944945,FALSE,0.1,TRUE
"tree",FALSE,50,0.97708483144674,0.896238046095631,0.939059561128527,0.924142064187638,0.833310801258596,0.00503067052757588,0.0243692724840428,0.0127636489223993,0.00974863247896732,0.0214671416263847,FALSE,0.1,TRUE
"rules",FALSE,100,0.977353051169321,0.891784657722738,0.940877742946708,0.923774800717833,0.832215679640592,0.0048421254422578,0.0250520479976304,0.0143166357055015,0.0105467793351263,0.0231868659823968,FALSE,0.1,TRUE
"tree",FALSE,100,0.977724770929105,0.895654626762986,0.940626959247649,0.924958641125162,0.83498298795438,0.00500532534325798,0.0246157328999658,0.0136776095337018,0.01090525870078,0.0239324637011707,FALSE,0.1,TRUE
"rules",FALSE,50,0.97602805788212,0.892040591675267,0.941880877742947,0.924511247443763,0.833761949032038,0.00511865313821126,0.0254471692413858,0.0132727949348106,0.0122303511358026,0.0269679282696039,FALSE,0.25,TRUE
"tree",FALSE,50,0.976370777272026,0.894264877880977,0.942194357366771,0.92549142356329,0.835954407308706,0.0049941972296561,0.0275534464427488,0.013012622032182,0.0106019715682753,0.023500316233381,FALSE,0.25,TRUE
"rules",FALSE,100,0.976599633572837,0.891099415204678,0.94282131661442,0.924796878260507,0.834272255811447,0.00530183960097844,0.0263753338995028,0.0130955821402318,0.0110839228933934,0.0245498534123534,FALSE,0.25,TRUE
"tree",FALSE,100,0.976990665704768,0.894030271757826,0.941630094043887,0.925041275405868,0.835014337212439,0.00509600718471483,0.0246796342965709,0.0124571882387536,0.00993690557432527,0.0219543766084205,FALSE,0.25,TRUE
"rules",FALSE,50,0.976277183061532,0.892262125902993,0.940815047021944,0.92389624806978,0.832514057695466,0.00473565785646681,0.0207969426066481,0.0123885779755857,0.00918414076068732,0.0201440299652655,TRUE,0.1,TRUE
"tree",FALSE,50,0.976429983619692,0.895781217750258,0.941128526645768,0.925327156629523,0.835764108815799,0.00466395046325387,0.0216243937601218,0.011853323694947,0.0102049289762984,0.0225023673523625,TRUE,0.1,TRUE
"rules",FALSE,100,0.976763243624459,0.891797041623667,0.942131661442006,0.924591544593297,0.833947566475045,0.00463644316297976,0.0199313888291917,0.0129205954882282,0.00972645223013083,0.0212238749078214,TRUE,0.1,TRUE
"tree",FALSE,100,0.976942231107919,0.893671826625387,0.941880877742947,0.925081757856517,0.835099232306803,0.00462756378796457,0.0223119796608175,0.0129670770591845,0.010456206942702,0.0229524028517676,TRUE,0.1,TRUE
"rules",FALSE,50,0.976139691998452,0.89343997248022,0.939937304075235,0.923735653770711,0.832262115138679,0.00502327254140706,0.0240683717521702,0.0133203059294582,0.0115583137382591,0.02538361748179,FALSE,0.1,FALSE
"tree",FALSE,50,0.976166355559438,0.893788785689714,0.940877742946708,0.924471098868995,0.833857076341582,0.00503843510713394,0.0220101291487743,0.0141758618419723,0.0117915083658038,0.02571063604435,FALSE,0.1,FALSE
"rules",FALSE,100,0.977023190159306,0.89215479876161,0.941442006269593,0.924267017236342,0.833281318998807,0.0049053108777858,0.0240586953396149,0.0138818022640861,0.0111618251325378,0.0244824317551329,FALSE,0.1,FALSE
"tree",FALSE,100,0.97677850459328,0.894024079807362,0.941379310344828,0.924880180292976,0.834750486482866,0.00515805498384772,0.0206994149063695,0.0147749320970207,0.0112913874046918,0.0244492817138955,FALSE,0.1,FALSE
"rules",FALSE,50,0.976312334404146,0.890494668042656,0.941567398119122,0.923773465214307,0.832111241127942,0.00488183491522655,0.023081978825302,0.0132053849184237,0.0102788157115321,0.0226008524643817,TRUE,0.1,FALSE
"tree",FALSE,50,0.97599337346994,0.892482972136223,0.940376175548589,0.923691498685364,0.832081966316923,0.00496051336782894,0.0238806652140393,0.0127216271400943,0.0111098125899031,0.0245360899665648,TRUE,0.1,FALSE
"rules",FALSE,100,0.976816345368924,0.890727210182318,0.942507836990596,0.924468344392972,0.833585707031909,0.00472483281687372,0.0231325632738601,0.0133691482420085,0.0106585221646839,0.0234075311275095,TRUE,0.1,FALSE
"tree",FALSE,100,0.976711740011409,0.893659442724458,0.940376175548589,0.924100329702433,0.833044893013204,0.00476093422768341,0.0225092467847918,0.0130484824753848,0.0109675238083884,0.0241236797640202,TRUE,0.1,FALSE
"rules",FALSE,50,0.976242488944101,0.89168008255934,0.943322884012539,0.925325487250115,0.835444236641569,0.00436388544068925,0.0234462089767832,0.0129922623237652,0.00955551897724149,0.0210963728261287,TRUE,0.25,FALSE
"tree",FALSE,50,0.976628632864354,0.896253181974544,0.940689655172414,0.925204206836109,0.835549152117037,0.00452547262685896,0.0227461455042783,0.0130692149638073,0.0091993912955442,0.020127395526618,TRUE,0.25,FALSE
"rules",FALSE,100,0.976847617846016,0.89261919504644,0.943636363636364,0.92585751846751,0.836623286217969,0.00423129258199757,0.0240034705721325,0.0127688330234204,0.00956717872046591,0.0211476362090812,TRUE,0.25,FALSE
"tree",FALSE,100,0.976979400064486,0.897656690746474,0.941442006269593,0.926183965610784,0.837696584241072,0.00452894823114232,0.0237454399202284,0.0132913670573715,0.0092146686028256,0.0202026405845206,TRUE,0.25,FALSE
