"committees","neighbors","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0,0.123028954947186,0.710963553299372,0.0606063741346935,0.00724935460972607,0.0282538035923356,0.00364959692701106,7
1,1,0.139603405819123,0.649067756733569,0.0705191261787643,0.00688778006333922,0.0300794563490203,0.00406785057194043,7
1,2,0.13059793923721,0.681545166265655,0.0668414662772747,0.00721604856643872,0.0301612190294667,0.00373956900490375,7
1,5,0.124533014755061,0.705271064458976,0.0640055785569397,0.00701439655301849,0.0276122081542775,0.00339703438424252,7
1,9,0.122778339810946,0.711855453427226,0.0634496278847573,0.00693618974871409,0.0268966069310535,0.00318719456572133,7
5,0,0.111630387306002,0.757126812265245,0.0562718893593209,0.00601213556603188,0.0244236743501467,0.00322185141540729,7
5,1,0.130936909371043,0.681490289112414,0.0670931527128066,0.0065480378834813,0.0288476604674924,0.00384692444178407,7
5,2,0.121891739685729,0.715511561029584,0.0635962333328263,0.00651946067286337,0.0286387020049716,0.00368639672906903,7
5,5,0.115463667306719,0.741333704098343,0.0605681239341829,0.00610615383427791,0.0252603482502553,0.00328147104920222,7
5,9,0.113305096910897,0.750001180392591,0.059743915505786,0.00590901233757093,0.0244688329484921,0.00308846655797435,7
10,0,0.110004648693585,0.763882946172186,0.0556625958315866,0.00539184807037784,0.0219534517461058,0.00287583798117201,7
10,1,0.129800974416383,0.685756450757418,0.066695084269434,0.00589963215343486,0.0264827584518031,0.00352798680931651,7
10,2,0.12063156618275,0.720519491908666,0.063093191668258,0.00570815129632682,0.0254992474309358,0.00337695897059488,7
10,5,0.113961447104205,0.747531672089849,0.0599404489864395,0.00544596813477355,0.022204954683817,0.00305422335853507,7
10,9,0.11186910044806,0.755961420114022,0.0591272513804215,0.00532609772337491,0.0217826979286521,0.00284344079102281,7
50,0,0.108940843354762,0.76839820153208,0.0552714427918375,0.00526418122545552,0.0218518440576712,0.00263092999277213,7
50,1,0.128996153923139,0.688480165046457,0.0662577043645299,0.00554970094372932,0.0251532016972144,0.00339705159484371,7
50,2,0.119722040535641,0.723955907098241,0.0626111885566549,0.00547131448368775,0.0246998233381195,0.00325899556006419,7
50,5,0.113029991266778,0.751218221806557,0.0594960925885043,0.00529762138261502,0.0222913539957948,0.00290845847224815,7
50,9,0.110926967629007,0.759766656985326,0.0587244165275156,0.00513135719127475,0.0216913037500148,0.00262229285021037,7
100,0,0.108774589628373,0.769089090506822,0.0552596068405257,0.0052110392973821,0.0214612779768297,0.00265814966606303,7
100,1,0.128749593357783,0.689548693981234,0.0661398406914209,0.00549671393517176,0.0249805034565363,0.00340639410672066,7
100,2,0.119517936239002,0.724863150567972,0.0625445765308948,0.00548272325115364,0.0246246381406787,0.00328867541778801,7
100,5,0.112857582446256,0.75195826286499,0.0594311823916321,0.00530289121760722,0.022117961190562,0.00295416766460503,7
100,9,0.110774054242096,0.760409555554328,0.0587044291366474,0.00513655840468684,0.0214980897771142,0.00266325908434603,7
