"committees","neighbors","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0,0.119929138246647,0.723637137862113,0.0593511374844752,0.0076342283501585,0.0329966679399642,0.00406982533409517,2
1,1,0.134519250473611,0.668606892412648,0.0666276946017446,0.00791667535290317,0.0361982050583314,0.00428756752165459,2
1,2,0.124771186735208,0.705587445482776,0.0626915281882339,0.00714859546100744,0.0339783931647868,0.00385763982686491,2
1,5,0.121006666749137,0.719249753762003,0.0616062255089156,0.0072306036418387,0.0326921694501544,0.00386577326053309,2
1,9,0.120456585177256,0.721037943878073,0.0618965014584461,0.00735060196347345,0.0312630688986784,0.00389211607959706,2
5,0,0.109177805729368,0.767045529457502,0.0552201777440379,0.00552382268922033,0.0242811576067406,0.00284381345081555,2
5,1,0.125905816692905,0.701874664031639,0.0628882315377876,0.00576556875267498,0.0284202652863961,0.00330005671133727,2
5,2,0.116125396058146,0.739827187993882,0.059207242264467,0.00538288110840774,0.0265464487758295,0.00309019065537376,2
5,5,0.112161764760041,0.754824392435998,0.0579291385640593,0.00561485055043355,0.0253553096707129,0.00299294186447305,2
5,9,0.111260734095025,0.758385293648963,0.0580978492581549,0.00568397444657876,0.0240636462097147,0.00292710426619575,2
10,0,0.107697532946972,0.773660747374205,0.0545608394511497,0.00544868639950261,0.0222782319674195,0.00277774508132819,2
10,1,0.124720931469682,0.706408362975975,0.062335710635667,0.00548381434644877,0.0260207378058126,0.00303994805624993,2
10,2,0.114989956426634,0.744448500461592,0.0587004167016687,0.00526421707078932,0.0249869228671941,0.0029551493401039,2
10,5,0.111004590876392,0.759767045232227,0.0574683830764484,0.00546841802951357,0.0230730333010168,0.00293388750959727,2
10,9,0.109976852027469,0.763909286584682,0.0575607645791347,0.0055724457464851,0.0218579487578174,0.0029047547964084,2
50,0,0.106636327288987,0.778006829968909,0.0541218662440864,0.00548227332378609,0.0220625552122997,0.0027525089828493,2
50,1,0.123725756703131,0.710271728021395,0.0619198397755607,0.00545117718697849,0.0261922390942989,0.00299347576476428,2
50,2,0.113920984905262,0.74864446472457,0.0582464833139228,0.00511743926544376,0.0244458428163117,0.00281830394855456,2
50,5,0.110007123103808,0.763743529914745,0.0570414867254105,0.00540270693629997,0.0225031078914237,0.00282664298732389,2
50,9,0.10898220116128,0.767914392561256,0.0571257862186416,0.00561151776032774,0.0218093044930554,0.00284335339603077,2
100,0,0.106564146745919,0.778314302665218,0.0540676953748935,0.0053951976559319,0.02188168966461,0.0027200668184786,2
100,1,0.123647305789326,0.710568994004188,0.0618608494423274,0.0053917507817034,0.0258767043254296,0.00293696672219666,2
100,2,0.113872026811031,0.74885895012792,0.0581710780365266,0.00514987894586106,0.0245040002230075,0.00279570697656206,2
100,5,0.109958790416433,0.763950271816212,0.0569909947009675,0.00539544850251285,0.0224634050048873,0.00281372857849187,2
100,9,0.108913385232962,0.768214869687383,0.0570672902049458,0.00558302055462932,0.0217177074051938,0.00284706590996274,2
