"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0.111840160793533,0.758863796570669,0.0615136651561381,0.00571884522926902,0.0240815279920238,0.00275954745331118,1
3,0.108250195925868,0.771795274096442,0.0586229021587704,0.00558781132980112,0.0229225706482619,0.00277949553909785,1
4,0.108170840539419,0.771708639191557,0.0583262062920582,0.00560120712345896,0.0231203116957394,0.00279162755711717,1
6,0.108028054436119,0.771996655639757,0.0579878728400896,0.00563156390297141,0.0228317294243362,0.00287618600106796,1
7,0.108155825052744,0.771362880612489,0.0579121863861483,0.00565229715902546,0.0235131423586707,0.00291102363584367,1
8,0.108433603798702,0.770114407474842,0.0579486956697299,0.00566296661052269,0.0231585351974827,0.00293788544028134,1
9,0.108600588963646,0.769341158615267,0.0579852841031812,0.00578572582205121,0.023724064616971,0.00300685870566266,1
10,0.108904803004732,0.768002976944515,0.0580568636327357,0.00576220877395703,0.0233421341729968,0.00299389751569406,1
11,0.109225806338881,0.76659528885299,0.0581713205861534,0.00572131291663787,0.0232316381010597,0.00296935509057661,1
12,0.109478480001804,0.765502234564283,0.0582284333468534,0.0057846255168983,0.0230451846819089,0.0029738028204622,1
13,0.109814263025284,0.763991699588575,0.0583389085385949,0.0057372250260621,0.0232347320690756,0.00300042757667735,1
