"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
2,0.112389990841417,0.758961646883421,0.0636617003365796,0.00564616584405227,0.0232851936254574,0.0028302533070135,3
5,0.108721129505391,0.771128432277773,0.060127732378181,0.00552403871594753,0.0220931378502033,0.0028365141729893,3
7,0.108295168013144,0.772250233765687,0.0594902828232876,0.00550518063226996,0.0224729494569226,0.00283598588251537,3
9,0.10823322854612,0.77211414987032,0.0591302450242527,0.00550778928131221,0.0224061908640017,0.00285962996307745,3
10,0.108249988708015,0.771843511040157,0.0590670129967955,0.00543444793343076,0.0222734585493252,0.00280952421286354,3
12,0.1084062221636,0.771001218427453,0.0589672077020707,0.00561832860829111,0.0230072692333987,0.00295040562143562,3
14,0.108768908055045,0.769255446763773,0.0589521841861043,0.00557423736101873,0.0224819830585852,0.00293792848639574,3
15,0.10896543087674,0.768224471786921,0.059002119868514,0.00550332997421573,0.0227575886893055,0.00291837351006765,3
17,0.109231781544707,0.766998852194719,0.0590147187018141,0.00553545562523825,0.0229361180186651,0.00295951612700527,3
19,0.109816480053751,0.764269104299733,0.0592286108022314,0.00556987050631022,0.0231944441554015,0.00297891786951228,3
20,0.110102672909545,0.76298447046695,0.0593088991006288,0.00573459802156131,0.0240142138329816,0.00305530059938593,3
22,0.110580731733895,0.76077806355495,0.0594284471638183,0.00553259181003033,0.0235836694653351,0.00297095004288713,3
