"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
2,0.114281876840322,0.751992357925623,0.0646466924783265,0.00573204905655376,0.0256379126169875,0.00288024889173797,7
6,0.109342539160283,0.768609030051108,0.0603111108972164,0.00547825087590364,0.023847988424844,0.00280659924322412,7
9,0.108536272040303,0.771211558273339,0.0594385723761616,0.00550892787292893,0.02346260508098,0.00285113989488852,7
12,0.108177753360107,0.772133515348615,0.0589820844405324,0.00545403902271969,0.0240128442401987,0.00284325236410307,7
13,0.108299662030886,0.771584541816088,0.0589901263338748,0.00551112450759123,0.0238545787510668,0.00288555007421753,7
15,0.108093440660723,0.772290853625768,0.0587563992176006,0.00544397346894902,0.0237473212769913,0.00290783332156853,7
16,0.108178672919151,0.771800268285937,0.0587165619751589,0.00550667088398606,0.0234399536032683,0.00287630603300921,7
18,0.108370968275903,0.770819791885129,0.0587540217543364,0.00551785331998717,0.0241612639129208,0.00287276682872208,7
20,0.108532639295985,0.769936342244515,0.0587568218771878,0.00542213699329315,0.0235329246877817,0.00285847361353217,7
22,0.108723740973099,0.769017410850078,0.0587598451843891,0.00559015582659798,0.0242117855152012,0.00298905242009847,7
25,0.109039980865965,0.767522063664351,0.0588116611522952,0.00552144410575981,0.0239900168310364,0.00295126142224807,7
26,0.109315294043106,0.766217177002879,0.0588861210147434,0.00560656263550183,0.0248343508196433,0.00296270473916127,7
29,0.109642088208884,0.764688532047108,0.0589635324343649,0.0056115879090888,0.0244108827908545,0.00295094611594944,7
