"mtry","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","variant"
2,0.985257061918426,0.912769177846577,0.959247648902821,0.943055632068778,0.874257141127353,0.00371134461998076,0.0208392279197125,0.0110786537186323,0.00839357194296122,0.0185708394178143,2
4,0.985286859197289,0.912182318541452,0.959937304075235,0.943300863903844,0.874735744662818,0.00367919188525285,0.0211290982966918,0.0106030321082099,0.00844118008125071,0.0187414135401698,2
6,0.985067239060834,0.909371861025112,0.959247648902821,0.94187179166145,0.871527809494927,0.00356864320559938,0.0211089154982439,0.0100337467543252,0.00813701141817844,0.0181215785732006,2
7,0.985027858385283,0.909484004127967,0.960188087774295,0.942524519010058,0.872910258838007,0.00362058792291044,0.0222595131785516,0.00999870737204035,0.00860735467630367,0.0192183109777717,2
9,0.984613574627453,0.907025111799106,0.958620689655172,0.940646216768916,0.868793497336992,0.00376656754418512,0.0205407355477867,0.0105024983426409,0.00865539151709267,0.0191972795985172,2
11,0.984265358830107,0.906083247334021,0.957931034482759,0.939869371061308,0.86707112430583,0.00379594170058591,0.0216394858752109,0.0100355454720001,0.00831748181640007,0.0185705059200804,2
13,0.983946720325924,0.905381492948056,0.957241379310345,0.939174491882643,0.865574045073088,0.00379378431308211,0.0213221876198138,0.0115181509647023,0.00837346993121871,0.0185345511059285,2
14,0.983732663455307,0.903153766769866,0.956865203761755,0.938153749843496,0.863269250127363,0.00383728222119001,0.0220471337039935,0.0118916684860208,0.00873564465138952,0.019327040767716,2
15,0.983663923315573,0.903393876848985,0.956677115987461,0.938113183923876,0.863190874734204,0.00386626749928999,0.0232321471391939,0.0119946038594331,0.00871629087641498,0.0193818903360218,2
17,0.983277546469283,0.901629858961128,0.955987460815047,0.937050123116731,0.860837757820435,0.00393195219746928,0.0215647568295259,0.0119823920325013,0.00847048714762352,0.0187340289788519,2
18,0.982947900053163,0.901984176126591,0.955924764890282,0.937132089645674,0.86103202720004,0.00401692249930206,0.0217997049765616,0.011872258188772,0.00928937797248644,0.0205684517854718,2
20,0.982657702249354,0.902681114551084,0.954921630094044,0.936723258628605,0.860217032012098,0.0040923239803802,0.0221182826885374,0.0124893450031621,0.00919253856692067,0.0202973592834632,2
