"mtry","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","variant"
2,0.9820629957092,0.899762641898865,0.953793103448276,0.934967154960144,0.856310322106104,0.00382053403157625,0.0214966318187577,0.0119798812112696,0.00951210931478775,0.0210218592918806,3
5,0.982677312249214,0.899059511523908,0.957805642633229,0.93733667209215,0.861255500301591,0.00363348682847172,0.022900246502801,0.0109183744270994,0.0100103758312968,0.0222633457318013,3
7,0.982247589592951,0.897063639490884,0.957366771159875,0.936355911689829,0.859047560627437,0.00376774071557004,0.0227553655666223,0.0110786537186323,0.00937100236682094,0.0208657331917703,3
9,0.981816181458009,0.893781217750258,0.95692789968652,0.934926422102583,0.855803813280537,0.00362113610149405,0.024266813732353,0.0123913296800428,0.00995652441261156,0.0221336987279816,3
10,0.981598171314943,0.891199174406605,0.955924764890282,0.933373899252953,0.852344250128425,0.00374839180286833,0.0232392154437789,0.0121395268787143,0.00968072219653069,0.0215323733381925,3
12,0.981145304868909,0.890145854833161,0.956426332288401,0.933333249864363,0.852168529740488,0.00380448654824441,0.0238195740456352,0.011227005048564,0.00963413304278845,0.0215274625252459,3
14,0.980584785616386,0.888271757825937,0.95435736677116,0.931331914360836,0.847815757702339,0.00432161159704864,0.0231378569263662,0.0117149622475539,0.00992031510574736,0.0220794710985462,3
15,0.980454799947807,0.887212934296526,0.954608150470219,0.93112716497642,0.847315238620582,0.00398584634979856,0.0223883283025783,0.0119535696341803,0.00938731738080239,0.0208292761071992,3
17,0.980023178297332,0.88534090127279,0.953667711598746,0.929861441509119,0.844498444561245,0.00397878904597158,0.0238141297828263,0.0122198805367388,0.0101713538297364,0.0226159098757826,3
19,0.979557147216803,0.883224630202958,0.953103448275862,0.928757480906473,0.842031223228871,0.00381445520164568,0.0216810353818703,0.0125065149221066,0.00927625610467217,0.0205060402510524,3
20,0.979152551456704,0.884751977984176,0.953605015673981,0.929616042736113,0.8439367566754,0.00424266424741359,0.0225411193211359,0.0114874655964,0.0091644811684444,0.0204068801194687,3
22,0.978773099846549,0.883223942208462,0.953354231974922,0.928920495805684,0.842354106059189,0.004187632005391,0.0219716703311211,0.0111443515665694,0.00911614520579446,0.0203231132189893,3
