"mtry","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","variant"
2,0.9835522374379,0.905612659098727,0.9541065830721,0.937212470264179,0.861425817765539,0.00395696050181151,0.0215077891342163,0.0110198459405696,0.008851321768254,0.0196384611574695,4
5,0.983664867960053,0.903033367733058,0.958495297805643,0.939174324944702,0.865417483672096,0.00390693863235103,0.0216040418499323,0.0109979854827384,0.00932572989561969,0.0207539176954903,4
7,0.983248729420823,0.902567595459236,0.958996865203762,0.939337840657736,0.865723866941674,0.00384195267141351,0.0226943748404245,0.0107635353857218,0.00942542894285473,0.0210268270432291,4
9,0.98305195113298,0.898466460268318,0.958620689655172,0.937663286173365,0.861906621357887,0.00377904212320113,0.0219028310370118,0.0100537144293075,0.00866953502016576,0.0193981190556472,4
10,0.982796155210696,0.897174406604747,0.957742946708464,0.936641375568632,0.859660236398808,0.00381919872844162,0.0217867227014062,0.0105261500705805,0.00908954897930863,0.0202473622026401,4
12,0.98237309035697,0.895181974544204,0.956739811912226,0.9352939359793,0.856671085412735,0.00394906915178791,0.0220268862767699,0.0105406200590594,0.00916152450327645,0.0204598363523265,4
14,0.981956164614006,0.893190230478156,0.955924764890282,0.934068361086766,0.853920288906615,0.00396529867053775,0.02416530083815,0.0103565497742013,0.00961175672202757,0.0215786427815414,4
15,0.981824556011702,0.891781905744754,0.955423197492163,0.933251450273361,0.85210016853813,0.00392786999657989,0.0238223955036581,0.0105651355928573,0.00973034491344132,0.0217759712496738,4
17,0.981376846289305,0.890496044031648,0.95435736677116,0.93210784190977,0.849587078593414,0.00390311366844293,0.024010178168433,0.0103323157305291,0.00928086993097799,0.0208487133815823,4
19,0.98110147379636,0.887917440660475,0.955047021943574,0.931658611911022,0.848453380673304,0.0041106647383207,0.0240775763507882,0.0102240228839625,0.00921184946620652,0.0207109582971082,4
20,0.980914669271988,0.889442036463708,0.955360501567398,0.932394057009307,0.850126669584166,0.00416868281379929,0.0227951914214227,0.0100847850578997,0.00896769424340882,0.0200908767323896,4
22,0.980661369756064,0.88721224630203,0.953981191222571,0.930718500897291,0.846414315756001,0.00420033555477496,0.0249969014141389,0.0109042218067276,0.00964801558574458,0.0216658025769043,4
