"committees","neighbors","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0,0.130152712838518,0.672676700446364,0.0670748599073841,0.00738811425086581,0.0380047529857051,0.00365329002913203,1
1,1,0.145328331522835,0.618710680684161,0.0753999916813863,0.00871342523621555,0.0456390453695404,0.00413216957525551,1
1,2,0.134928759294383,0.657339261405896,0.0714398380324229,0.00775449807202233,0.0409864734650201,0.00380596793407699,1
1,5,0.129790142078586,0.676820041983919,0.0695718084745743,0.00754971270681346,0.0381327390529406,0.00383299389956992,1
1,9,0.128608797243389,0.681126284637558,0.0692668474123852,0.00766338451445029,0.0376765561600592,0.0038019707575167,1
5,0,0.123180170002286,0.703557427329006,0.064439294866703,0.00608091889978001,0.0339212912603388,0.00343073801045446,1
5,1,0.141045648821894,0.635290395587069,0.07372048845172,0.00755974674766886,0.0422880679013078,0.00394738660011359,1
5,2,0.130555909395535,0.675028247808026,0.0697979532409126,0.00635042881510848,0.0364988030656593,0.00338636901594303,1
5,5,0.12509517257754,0.696412131881059,0.0676461104840386,0.0060633952716605,0.0330282991080484,0.00332594669706872,1
5,9,0.123491163320681,0.702923806097625,0.0671764546648038,0.00602307015862097,0.0324197516796403,0.00329070828592283,1
10,0,0.122277563418343,0.707695166318348,0.0640798391752022,0.00628255108976499,0.035682299923388,0.00335813149188044,1
10,1,0.14061316026099,0.63712426015504,0.0735006966032236,0.00745978155486098,0.0419134174482916,0.00375298459356441,1
10,2,0.129962408355868,0.677554216384603,0.0695357275132204,0.00641067526579781,0.0364690601464517,0.00328054526808848,1
10,5,0.124412355066847,0.699420277919668,0.0673339267390355,0.00612423903724872,0.0335144175918421,0.00323277065954832,1
10,9,0.122730281780213,0.706323487943585,0.0668234015556639,0.0060999294825008,0.0331528405167215,0.00319369774654291,1
50,0,0.121317500776458,0.712599808854776,0.0635806881177422,0.00613682483102254,0.0345440930887451,0.00321097420708566,1
50,1,0.139749963270986,0.640400454674718,0.0731019451098602,0.0072012565617797,0.0407119696552477,0.00358017203873548,1
50,2,0.129112219219638,0.681076283610623,0.0691740201557278,0.00612287769464284,0.0353278870828585,0.00312786853906674,1
50,5,0.123602650461114,0.703023972273616,0.0669185646682917,0.00603193947072567,0.0331396847709026,0.00316597984417103,1
50,9,0.121926840032934,0.710001032288519,0.0664133391789485,0.00603075911514045,0.0327915618536529,0.00315871158793648,1
100,0,0.121428427870109,0.712118654295573,0.0636327301561874,0.00607346600814912,0.0341688249781015,0.00313378306757648,1
100,1,0.139831209822669,0.639943112649701,0.073128444463253,0.00714711646325724,0.0402222372613815,0.00352650156579095,1
100,2,0.129200009067005,0.680623508822384,0.0692080273263822,0.00607535814599587,0.0348735597279185,0.00312479322636393,1
100,5,0.123687042180664,0.702611836099222,0.0669746861976943,0.00597859991523213,0.0327041588054794,0.0031194868018586,1
100,9,0.122007930701812,0.70960758745292,0.0664595079657686,0.00598596182793905,0.0324346246141633,0.00311113319632152,1
