"mtry","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","variant"
1,0.976444720504932,0.884981080151359,0.938683385579937,0.919973790743291,0.823784525062429,0.0050341645702578,0.022017396814839,0.015566904420887,0.0115342714360073,0.0250259553365418,3
3,0.978513574950961,0.888262813897489,0.948275862068966,0.927368223362965,0.839490564260184,0.00453062294508065,0.0207402775403403,0.0127493424500553,0.0102091637409509,0.0223863671992341,3
4,0.978676086152439,0.887910560715514,0.949278996865204,0.927900004173449,0.840581564102525,0.00448400351379195,0.0205135739666071,0.0124055640399019,0.010574454166199,0.0232440254434782,3
5,0.978297709668479,0.883691090471276,0.949780564263323,0.926756061933976,0.837855651535642,0.0045046614075782,0.0189304212092664,0.0115308544596596,0.00953192471064558,0.0209665697800386,3
6,0.978141335421041,0.883695218438252,0.94858934169279,0.925981136012687,0.836244952349384,0.00443069599372581,0.0188043848678157,0.0127454092886321,0.0099723882452568,0.0217613269803822,3
7,0.977894432744225,0.882758169934641,0.948213166144201,0.925408538875673,0.834949626991889,0.00474390227492113,0.0194676074459928,0.0117163316978184,0.0100504424085264,0.0220962803478259,3
8,0.97746894049926,0.883113175094599,0.947210031347962,0.924878177037686,0.833883064926201,0.00460532125192907,0.0180069418330135,0.0124325321626229,0.00946975078314579,0.0206356641090834,3
9,0.977200467361778,0.882524251805985,0.947774294670846,0.925040607654105,0.834174611904141,0.00471126325757849,0.0180854703193574,0.0122251311771666,0.0100359404748344,0.0219111086906794,3
10,0.97680987627961,0.88146611627107,0.947021943573668,0.924183297859021,0.83228570512159,0.00470753170323461,0.0192175465526073,0.0124146137712755,0.00993213191545876,0.0217224576306219,3
11,0.976417356009114,0.880767801857585,0.947021943573668,0.923938149492926,0.831711098612947,0.00477417889096663,0.0193088737528613,0.0120872096518278,0.00966326226935857,0.0212000525049903,3
