"mtry","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","variant"
1,0.97609070743735,0.882171310629515,0.934984326018809,0.91658386544802,0.816412011494234,0.00525719455924507,0.0306522455001665,0.0158433685181011,0.0124003489647252,0.0273966847297637,7
3,0.978814623225961,0.894012383900929,0.94269592476489,0.925734318267184,0.836470651522186,0.00451705623601194,0.0264139408344213,0.0143310568632274,0.0106631046826262,0.0235337998339924,7
5,0.978991493886231,0.89366425868593,0.944514106583072,0.926797379074329,0.838664441298323,0.00445826905894333,0.0256229002317614,0.0133336989977245,0.010220275068783,0.0225827996442614,7
6,0.97907322180921,0.894361885104919,0.944827586206897,0.927245941321314,0.839671694557083,0.00447373533722681,0.0254608763521552,0.0142321975656701,0.0107585530712295,0.0236561691299972,7
7,0.978850037688727,0.894010319917441,0.945454545454545,0.927532239889821,0.840253097542984,0.00464038492634128,0.0235604436730977,0.0135537357370547,0.0102395770819443,0.022478843842779,7
8,0.978818403960605,0.895422084623323,0.945705329153605,0.928185801928133,0.841713028821595,0.0044134788382154,0.024285337438381,0.0129396731273503,0.00969422981131801,0.0213867038977624,7
9,0.978670998443925,0.89366081871345,0.945203761755486,0.927246108259255,0.839617075126414,0.00468026900952515,0.0240236673988034,0.0132278425561394,0.00968219340402293,0.0212960164957937,7
10,0.978571081801252,0.893543859649123,0.945579937304075,0.927450273360878,0.840034533065314,0.00463154621120874,0.0231977108710471,0.0125673026183899,0.00965980820911058,0.0212956701570234,7
11,0.97836589013871,0.891785345717234,0.945078369905956,0.926510579691999,0.837921891489983,0.00463199368906568,0.0246095342530901,0.0127806072509131,0.00984793779168961,0.0217937233447552,7
13,0.978039455082478,0.890851737186102,0.944576802507837,0.925858102750303,0.836497222532198,0.00464821390120585,0.0239944846962447,0.0132460235001065,0.00971340486538599,0.0213698627597402,7
15,0.977518366110124,0.887448228414173,0.944451410658307,0.924591043779475,0.833560036861034,0.00487300279885282,0.0249668186949055,0.0125877123803034,0.00963693424808442,0.0213825826886214,7
