"committees","neighbors","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0,0.124281163010984,0.706013295542966,0.0620102205259975,0.00923375653751618,0.0411094720481246,0.00414990900558161,8
1,1,0.131621958294608,0.688165808885505,0.0647752658431195,0.0100011548663245,0.0437903524920341,0.00525926034849287,8
1,2,0.123925195718017,0.712662672802011,0.0617327354464316,0.00956424436271413,0.0419833270743138,0.00443784041347605,8
1,5,0.122112092612722,0.716892450613216,0.0623127835707378,0.00952771820309927,0.0419037171505225,0.00431423076972937,8
1,9,0.122223174468508,0.715230067112885,0.0632952354175451,0.00939417138499263,0.0414659085876034,0.0040375147848864,8
5,0,0.110693302331552,0.760328370708298,0.0570724516409439,0.00632582465082194,0.0279947137566725,0.0032959117487037,8
5,1,0.11575744812038,0.744278357352669,0.0579694924561707,0.00726841843438176,0.0328433448329546,0.00412574143452979,8
5,2,0.10996252569726,0.76495468078794,0.0560534469901701,0.00691749061563922,0.0305654526432844,0.00359659323401117,8
5,5,0.108822504178981,0.768535537963646,0.0570106230445527,0.00702323861796241,0.0307092583713491,0.00358911780931911,8
5,9,0.10936289651077,0.766248243274979,0.058225445689299,0.00675879841554345,0.0292799456678994,0.0033435201869562,8
10,0,0.108248317627746,0.770710793065964,0.0563110916572959,0.00590130162595337,0.0259274796255198,0.00295632199184457,8
10,1,0.113007953211857,0.75446450088369,0.0568084601759576,0.00696517492402369,0.0315271595047912,0.00394249428671399,8
10,2,0.107594882067807,0.774163746995218,0.0550478765318924,0.00663606443293925,0.0293590365478303,0.00341101122013754,8
10,5,0.106583996216011,0.777649422957437,0.0561168306619751,0.00664454163291229,0.0287960213501106,0.00342497916489872,8
10,9,0.107138817661544,0.775525910457028,0.0573583632192923,0.00638232705930573,0.0275135784592693,0.00320400839066719,8
50,0,0.105839748848309,0.781041447806343,0.0553090617412531,0.00571825292567656,0.0251966007569154,0.00295396700185562,8
50,1,0.110299093943128,0.764544728023522,0.0554723004419021,0.00690945514514112,0.0306343437784392,0.00403598206399151,8
50,2,0.104942705781417,0.784415105444281,0.0538328237406844,0.00638332118057518,0.02801661226084,0.00341958426001409,8
50,5,0.104228585248312,0.787097802809986,0.0549410368162699,0.00631788236456666,0.0274155388520077,0.00331564288378743,8
50,9,0.104840912425872,0.784958837885079,0.0562601952221219,0.00608999101614266,0.0261533163982232,0.00312620912222627,8
100,0,0.105476651602846,0.782640168358303,0.0551011846505468,0.00568106950755383,0.0248717806329107,0.00296433379628095,8
100,1,0.110018017831038,0.765661458178235,0.0553048993223137,0.00692739807719914,0.030582508372816,0.00403167541475979,8
100,2,0.104633584583029,0.785638240534566,0.0536479924556889,0.00634809495590415,0.027859916100177,0.00342475355567284,8
100,5,0.103881838860639,0.788551280051361,0.0547591842623206,0.00627269840598043,0.0270948690768729,0.00332665429557575,8
100,9,0.10449863262847,0.786412643762553,0.0560649180649488,0.00604482129373934,0.0258746838271048,0.00313735233510092,8
