"committees","neighbors","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0,0.123164472472556,0.71081662266261,0.0603008557046546,0.00912116122913734,0.0380614960120484,0.00459572213191963,7
1,1,0.138671023646158,0.651753893946845,0.0690158627556141,0.00919943889911972,0.0415927191044741,0.0050803056166793,7
1,2,0.130127006211953,0.684168653240703,0.0655475728131311,0.0087437574118364,0.0379261345779095,0.0045853465361588,7
1,5,0.124524181242801,0.705412390576058,0.0630833917890498,0.00891772625781329,0.0376518769150693,0.00467713773146969,7
1,9,0.122786226894841,0.712321890719082,0.0624932569292657,0.00901468053214194,0.0368082079007306,0.00470872247912634,7
5,0,0.110351096875631,0.761897588301608,0.0558778504531366,0.00658296784052901,0.0238810800182822,0.00350801555940336,7
5,1,0.127103006194478,0.694341916469987,0.0643505073188891,0.00640448533811783,0.0282374366154273,0.00389743055345881,7
5,2,0.119305039386457,0.725538113204742,0.0613220981051095,0.00579642536664511,0.0228018173499172,0.00348563577899254,7
5,5,0.113588194153888,0.748606955845857,0.0590169280080561,0.00623177348253545,0.0238403890317279,0.00352282162757861,7
5,9,0.111614198344835,0.756755717296961,0.0583363482921128,0.00663171123055846,0.024418700137553,0.00368642501806744,7
10,0,0.108198410418829,0.771068611443651,0.0550300601643827,0.00606696487756224,0.0228738132922941,0.00325043903706951,7
10,1,0.125068230773739,0.702494737542479,0.0634562986878675,0.00586602088739328,0.0276788346098455,0.00365455649963457,7
10,2,0.117278776485494,0.733820958860654,0.0604851909344449,0.00542291802115457,0.0230470449019123,0.00327454043410696,7
10,5,0.111510029634134,0.757238112677827,0.0581736346797491,0.00589580991807754,0.0236186056217011,0.00330239252494515,7
10,9,0.109468426998314,0.765730379220523,0.0574658902871322,0.00614430984043819,0.0233083255862115,0.00342221111005624,7
50,0,0.106499820694416,0.778097314355238,0.0543408349707971,0.00573522851200462,0.0234135546854515,0.00300643992074837,7
50,1,0.123318914834748,0.709727616397788,0.0626081916152426,0.00537283860199684,0.0258086188231325,0.00342362543980214,7
50,2,0.115504363238176,0.741105366823923,0.0596245642386541,0.00513108235768456,0.0229226941850649,0.00300033300232617,7
50,5,0.109876819233798,0.763890312429497,0.0574055909533969,0.00567759127679522,0.0243803015846785,0.00318082608888814,7
50,9,0.107841186389891,0.772353891977308,0.0567921035485713,0.00586289091148704,0.0239392249228135,0.00322635858945784,7
100,0,0.106237987087647,0.779226809066737,0.054228688099617,0.00576720844487514,0.0232116687158982,0.00305414407421527,7
100,1,0.12309244471916,0.710624217042732,0.0625194905765021,0.00540700001881856,0.0255491036873808,0.00341299002876008,7
100,2,0.115215045569883,0.742328299710007,0.0595008079857519,0.00519665185342001,0.0227144987556988,0.00307156059384133,7
100,5,0.109582312725097,0.765138250377355,0.0572759909748757,0.00568711046259993,0.024210880361429,0.00321797518357119,7
100,9,0.107571418233898,0.773513082998908,0.0566793540073636,0.00585212308275461,0.0235890133897493,0.00326729256133219,7
