"committees","neighbors","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0,0.121615787629424,0.717373190230288,0.0598162293678754,0.0084977783557296,0.0376878913558471,0.00357117321110415,4
1,1,0.133911266029622,0.673828341084468,0.0664654244080954,0.00870673893152027,0.0364061008770679,0.00463482954480845,4
1,2,0.125138928733901,0.705924307097774,0.0631887714940969,0.00902753888760464,0.038046045018781,0.00457808767658429,4
1,5,0.120846706722924,0.721772171401199,0.0615636013015237,0.00822371054111811,0.0344527180483535,0.00380289726272445,4
1,9,0.119926597073124,0.72525106128364,0.0612928379414733,0.00841257116077768,0.0353979350034342,0.00382096518087562,4
5,0,0.109410029760458,0.766238779386026,0.0554948662803543,0.00578749424283283,0.0231724282855083,0.0029095342375839,4
5,1,0.122186228792775,0.717587932090253,0.0615776148982327,0.00660506115883857,0.0269562756240876,0.00387950009659313,4
5,2,0.114434315023423,0.747143211416018,0.0587110355064489,0.00640112785180561,0.0258571678253385,0.00357488026031867,4
5,5,0.110273726545402,0.76334839355266,0.0574684830607844,0.00534524958970215,0.0212457612488522,0.00303781133148126,4
5,9,0.109227995831944,0.767547320825126,0.0572398565354686,0.00555431732865665,0.0214861642495112,0.00306064632715879,4
10,0,0.107129175428041,0.775787452742651,0.0545435661252701,0.00572566854747979,0.0229800106974302,0.00291981820033501,4
10,1,0.120357798122192,0.724855151465461,0.0608977219883625,0.00610173977338922,0.0241156595404547,0.00353810108684381,4
10,2,0.112392172387559,0.755453346302212,0.057849241958183,0.00619492502551168,0.0242299632320112,0.00339827947396925,4
10,5,0.108263013289939,0.77160275719499,0.0565854223637019,0.00529862462166255,0.0210193925255622,0.00295456391827687,4
10,9,0.107156860062815,0.776107013360264,0.0563253514867167,0.00550786731805778,0.0215276833883378,0.00303250351906725,4
50,0,0.105297634891397,0.783213782645855,0.0538551956997395,0.00574497655008593,0.0228936637087357,0.00285539126484279,4
50,1,0.118676611111681,0.73078596549675,0.0601320068741748,0.0061944349554533,0.0249870586301095,0.00359175980514397,4
50,2,0.110796279399532,0.761272567930117,0.0571242318605451,0.00624564201815857,0.0244842164680882,0.00353027379541947,4
50,5,0.106574027283815,0.777973951917249,0.0558573666077834,0.00527129935634609,0.021146018631758,0.0029634074863959,4
50,9,0.105428757478039,0.782719002991541,0.0555874490536993,0.00549564703536445,0.0212366163342634,0.00298419496813171,4
100,0,0.105063239350086,0.78417695538813,0.0537429793790507,0.00570633738266669,0.0229780175856147,0.00283519477492607,4
100,1,0.118457343137128,0.731667893469385,0.0600484525845181,0.00606265538033776,0.0244550689780597,0.00350906190292286,4
100,2,0.110594902614384,0.762070490756204,0.0570392728494918,0.0061300990509876,0.0241528702140145,0.00347188003233843,4
100,5,0.106376531325046,0.778751698808803,0.0557634621956587,0.00522630846925149,0.0211774996277191,0.00294726138862003,4
100,9,0.105198884741943,0.783622895013822,0.0554672649831088,0.00544122258670679,0.0212819788969713,0.0029680815656043,4
