"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.984329113705648,0.897876160990712,0.958808777429467,0.937581403113393,0.861687542959443,0.0032886069710231,0.0285980724356704,0.0142323384778197,0.0100520053921344,0.0224380543580708,FALSE,0.1,TRUE
"tree",FALSE,50,0.984060636254722,0.915699346405229,0.95153605015674,0.939052126372021,0.865991852267105,0.00358443243802416,0.0211449816875345,0.0136158871540801,0.00911794751302105,0.0198393857584686,FALSE,0.1,TRUE
"rules",FALSE,100,0.98488540793868,0.899168902648779,0.95974921630094,0.938643378823922,0.864046726114477,0.00311948365993022,0.0256425399394592,0.0136915319616812,0.00945668604413452,0.0210658569096449,FALSE,0.1,TRUE
"tree",FALSE,100,0.984650217343716,0.919450292397661,0.952163009404389,0.940767997996745,0.86986071559305,0.00340411936184402,0.0203936679470007,0.014271739146173,0.00998794537256605,0.0216858676437492,FALSE,0.1,TRUE
"rules",FALSE,50,0.984063597434794,0.895084279325765,0.958495297805643,0.936396477609449,0.858939031340059,0.00397043801692822,0.0279782184411121,0.00982286063294596,0.0102771179099252,0.0232862635316632,FALSE,0.25,TRUE
"tree",FALSE,50,0.983913593067431,0.916538011695906,0.951724137931034,0.939459037602771,0.86685393822823,0.00396772877667682,0.0218801263031458,0.0104065831066926,0.00974650912119153,0.021526188251505,FALSE,0.25,TRUE
"rules",FALSE,100,0.98478478604773,0.89790780873753,0.959373040752351,0.93794908392805,0.862434322457153,0.00377692520269868,0.0266144512240496,0.00987173899396675,0.00991962185559565,0.0224189534886342,FALSE,0.25,TRUE
"tree",FALSE,100,0.984336488618436,0.91653732370141,0.950846394984326,0.938887692500313,0.86565168529601,0.00384445340039776,0.0211031860232727,0.0100425374225954,0.00981493892559026,0.0216765767357083,FALSE,0.25,TRUE
"rules",FALSE,50,0.984207234078805,0.892851737186102,0.960626959247649,0.937011643921372,0.860133402507396,0.00386942865379328,0.0248379129699014,0.00981469057361592,0.0106075205312965,0.0238804042341421,TRUE,0.1,TRUE
"tree",FALSE,50,0.984128672224541,0.91441210870313,0.949467084639498,0.937254204749384,0.862100989155178,0.00411056118821083,0.0186390893764438,0.0107970215250656,0.00925914494521457,0.0203052682012771,TRUE,0.1,TRUE
"rules",FALSE,100,0.984844820576859,0.894485724114207,0.961692789968652,0.938276449229999,0.862941594294311,0.00380987124044993,0.023545673296572,0.010198097473004,0.00933874489813947,0.0209788242493981,TRUE,0.1,TRUE
"tree",FALSE,100,0.984741332401629,0.916057103543172,0.950971786833856,0.938806978005926,0.865459089650828,0.00382991916905758,0.0207759323589171,0.0105360527359336,0.0090995911074026,0.0200814186338528,TRUE,0.1,TRUE
"rules",FALSE,50,0.984337932544189,0.892734090127279,0.959122257053292,0.935989149033847,0.857987216577597,0.00379235378992194,0.0221431648952834,0.0108585139622279,0.0099545670548184,0.0222524907818653,FALSE,0.1,FALSE
"tree",FALSE,50,0.984275320731603,0.914773305813553,0.952915360501567,0.939625140853888,0.867102824018945,0.00413965758267131,0.0217533647372723,0.0106633864018595,0.0102182471239467,0.0226095435504348,FALSE,0.1,FALSE
"rules",FALSE,100,0.984938653105195,0.89402614379085,0.95974921630094,0.936847877801427,0.859899521533172,0.00377744908157154,0.0214775367799528,0.0106232512338076,0.00927036874545464,0.0206830747932979,FALSE,0.1,FALSE
"tree",FALSE,100,0.984758806167795,0.918293085655315,0.953605015673981,0.941300613496933,0.870874154451487,0.00396259383499785,0.0199404742117545,0.0108222534470171,0.00968964676172117,0.0213614376383333,FALSE,0.1,FALSE
"rules",FALSE,50,0.984829133655332,0.892719642242862,0.960501567398119,0.936886106589875,0.859847068075946,0.00336131920371222,0.0250952821520074,0.00956298992568859,0.0105594910009946,0.0238606544782578,TRUE,0.1,FALSE
"tree",FALSE,50,0.984445406342705,0.91524527003784,0.952351097178683,0.939420641876382,0.866726112474157,0.00322377985544425,0.0188919172612662,0.0110786537186323,0.00903598547007477,0.0198532828127092,TRUE,0.1,FALSE
"rules",FALSE,100,0.985196924944977,0.893431028551772,0.961755485893417,0.937949000459079,0.8621813320395,0.00328997041019124,0.0215896552586165,0.00915586578605503,0.00943622328837172,0.0212346804252218,TRUE,0.1,FALSE
"tree",FALSE,100,0.985067998227174,0.914769177846577,0.952915360501567,0.939624055757272,0.867103068026269,0.00316163673636985,0.0195047208646478,0.00965669274920085,0.00881425570333137,0.0194995115065044,TRUE,0.1,FALSE
"rules",FALSE,50,0.984888289320018,0.890033711730306,0.961755485893417,0.936764074955135,0.859411166438417,0.00374977755772003,0.0287727058131204,0.0125711319727884,0.010602826261312,0.0239919894990285,TRUE,0.25,FALSE
"tree",FALSE,50,0.984480368972095,0.917464740282078,0.952789968652038,0.940481365552356,0.869089874835836,0.00390489711031723,0.0232801356172694,0.0129081721344858,0.0094770763571841,0.0208704775915553,TRUE,0.25,FALSE
"rules",FALSE,100,0.985288745251166,0.890858617131063,0.961880877742947,0.937132089645674,0.860256738168271,0.00375360712203487,0.028361178092642,0.0127981699311176,0.0101603692335625,0.0229920824342595,TRUE,0.25,FALSE
"tree",FALSE,100,0.985064148477408,0.918758857929137,0.953416927899687,0.941339676975084,0.870988451069922,0.00377352843268314,0.0234184280254014,0.0133150353018951,0.0105130764991111,0.0230799454535982,TRUE,0.25,FALSE
