"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.982566837371257,0.899879600963192,0.954858934169279,0.935702766996369,0.857792836777008,0.0037557588125155,0.0281102241745374,0.0105596293081519,0.00957103927747366,0.0217252594960181,FALSE,0.1,TRUE
"tree",FALSE,50,0.982423420712948,0.915704850361197,0.94833855799373,0.936968657401611,0.861563949252711,0.00381425887742809,0.0235585899315648,0.0122026360037995,0.0107919313875541,0.0238203449941328,FALSE,0.1,TRUE
"rules",FALSE,100,0.983077925621109,0.902456828345373,0.95435736677116,0.93627461291265,0.859195619903001,0.00376308776899486,0.0263391661224823,0.0109358102137732,0.00963201283137048,0.0216963743221287,FALSE,0.1,TRUE
"tree",FALSE,100,0.982849567523209,0.916519435844513,0.948025078369906,0.937050290054672,0.861800277601166,0.0036180126835548,0.0227673671039286,0.0126837359378402,0.010510310352192,0.0231112613594051,FALSE,0.1,TRUE
"rules",FALSE,50,0.98262357103651,0.899298933608531,0.953479623824451,0.934597721297108,0.855414586648564,0.00409425669603666,0.0291817633016167,0.0111752612345596,0.0117478171451142,0.0263990939669325,FALSE,0.25,TRUE
"tree",FALSE,50,0.982540252530644,0.914658410732714,0.948965517241379,0.937008472100497,0.8615316980674,0.0039657149549543,0.0264538677791666,0.010503262132929,0.011084302754535,0.0247072949619968,FALSE,0.25,TRUE
"rules",FALSE,100,0.983077425261476,0.900703818369453,0.953730407523511,0.935250865990568,0.856901524238847,0.00405279713573216,0.0292791750798293,0.0123060666658685,0.0116676207098329,0.026195983711994,FALSE,0.25,TRUE
"tree",FALSE,100,0.983042706341735,0.916538011695906,0.94846394984326,0.937335002712742,0.862369204218623,0.00394472304044487,0.0246160194891851,0.0115251135180582,0.0107042030244548,0.0236487306572801,FALSE,0.25,TRUE
"rules",FALSE,50,0.982592488351002,0.899292741658067,0.954796238244514,0.935457284754393,0.85722296440484,0.00452608126209756,0.0297154619151217,0.0110802828126369,0.0102582754024449,0.02329359130175,TRUE,0.1,TRUE
"tree",FALSE,50,0.982194050033807,0.9124348125215,0.947586206896552,0.93533667209215,0.857880724239236,0.00459819479053841,0.0271057832788408,0.0117129077719445,0.0102422484199485,0.0228955480111761,TRUE,0.1,TRUE
"rules",FALSE,100,0.983209192382887,0.901755073959408,0.954984326018809,0.93643746087392,0.859468393037767,0.00425021479082382,0.0290378278842381,0.0112003572940884,0.0101300472930415,0.0229469595394731,TRUE,0.1,TRUE
"tree",FALSE,100,0.98277584858945,0.914422428620571,0.949028213166144,0.936969659029256,0.861441496425869,0.00437360194545007,0.0271941055871362,0.0115884535734938,0.0102454657340461,0.0229365285674891,TRUE,0.1,TRUE
"rules",FALSE,50,0.982438028194834,0.90199656002752,0.953855799373041,0.935785484746046,0.85815671190445,0.00421706819217203,0.0263958890504991,0.0125558075477833,0.0119265936516522,0.0265704875006142,FALSE,0.1,FALSE
"tree",FALSE,50,0.982143230101808,0.911965600275198,0.948150470219436,0.935540837193773,0.858338470433118,0.00455810621909858,0.0223631348708441,0.0127014325658381,0.0113824801759301,0.0249659688087423,FALSE,0.1,FALSE
"rules",FALSE,100,0.982909004640189,0.90480701754386,0.954545454545455,0.937215391678144,0.861362708171506,0.00421711147352896,0.0269362211765008,0.0128277524293798,0.0119143853071444,0.0265275928544252,FALSE,0.1,FALSE
"tree",FALSE,100,0.98255738876973,0.913371173030616,0.948652037617555,0.93635816535203,0.860144311689041,0.00442882622581561,0.0231795196401657,0.0127279313735594,0.011704681038244,0.0257197169356919,FALSE,0.1,FALSE
"rules",FALSE,50,0.982555766914366,0.89553904368765,0.95423197492163,0.9337822294562,0.85350000553483,0.00376366475994232,0.0225633217195186,0.01129379329415,0.00898018858753648,0.0199828498320666,TRUE,0.1,FALSE
"tree",FALSE,50,0.982489653662708,0.911360853113175,0.947523510971787,0.934925086599057,0.856991505688849,0.00349913261247387,0.0195756854907008,0.0107069305272051,0.00885239089470579,0.0194667457790138,TRUE,0.1,FALSE
"rules",FALSE,100,0.982998799783896,0.897648434812521,0.954608150470219,0.934762071699846,0.855720877196763,0.00351302178785202,0.0208027726795795,0.0106962486121817,0.00827635382824832,0.0184172142106983,TRUE,0.1,FALSE
"tree",FALSE,100,0.982894979473393,0.912181630546956,0.949404388714734,0.936436626184216,0.860222647648594,0.0034008709017559,0.0194592822586764,0.0104260291027599,0.00827016633698567,0.0182354886351621,TRUE,0.1,FALSE
"rules",FALSE,50,0.982743502064523,0.899415204678363,0.95435736677116,0.935212136388298,0.856752082222645,0.00373789468705581,0.0275786579776465,0.0123158408857244,0.00904307820701673,0.0203298026392901,TRUE,0.25,FALSE
"tree",FALSE,50,0.982613250040708,0.913950464396285,0.947335423197492,0.93570293393431,0.858780081840666,0.00359423377664853,0.026029733100043,0.0133449748551288,0.00920856007164298,0.0203401811940005,TRUE,0.25,FALSE
"rules",FALSE,100,0.983330372153261,0.899999312005504,0.955548589341693,0.936192229038855,0.858849699560751,0.00373178889510891,0.0279381252566337,0.0116036728725701,0.00866438910346209,0.0196035650599178,TRUE,0.25,FALSE
"tree",FALSE,100,0.983028145229384,0.914770553835569,0.948526645768025,0.936765160051751,0.861069367758111,0.00370951176014378,0.0257450168535631,0.0132103956719493,0.00975162014294436,0.0215087341846765,TRUE,0.25,FALSE
