"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.982500385514157,0.904568971448228,0.953103448275862,0.936193481073411,0.859193642139016,0.00390158702724918,0.0247482040946322,0.0121155486045672,0.00865577972263347,0.0192672493997604,FALSE,0.1,TRUE
"tree",FALSE,50,0.98224939261301,0.911830753353973,0.948965517241379,0.936029381077584,0.859345531762565,0.00403540929365562,0.0212265864129728,0.0115577813359165,0.00926597952166417,0.0203791670342429,FALSE,0.1,TRUE
"rules",FALSE,100,0.982903737923702,0.905387684898521,0.954043887147335,0.937091941070907,0.86112818302757,0.00384837854549764,0.0243213108263213,0.0105331971532841,0.00801963069658604,0.0180395817346529,FALSE,0.1,TRUE
"tree",FALSE,100,0.982457159402286,0.912889576883385,0.949843260188088,0.936968991277493,0.861374318711956,0.00379547540763793,0.0238619595023147,0.0117293335008588,0.0102979477006063,0.0227517174714726,FALSE,0.1,TRUE
"rules",FALSE,50,0.98218824413668,0.903161334709322,0.954294670846395,0.936478277200451,0.859688408617436,0.00417734398625273,0.0227830465395044,0.00956487717168775,0.00878931672427976,0.0197149003024947,FALSE,0.25,TRUE
"tree",FALSE,50,0.982062405845581,0.91277743378053,0.949843260188088,0.936927423730228,0.861264406683074,0.0045734153808537,0.0237293781519413,0.0104450548944833,0.0102103313460883,0.022675205802509,FALSE,0.25,TRUE
"rules",FALSE,100,0.982690303267542,0.903748882008944,0.954169278996865,0.936601060055924,0.859976631363125,0.00417639993675266,0.0241367327866614,0.0096857242737473,0.00912571871406466,0.0205160860153436,FALSE,0.25,TRUE
"tree",FALSE,100,0.982482905277824,0.914304093567252,0.950470219435737,0.937867534743959,0.863351064719835,0.00452254969871157,0.0228281918015419,0.0103679685649711,0.00999965805733771,0.0221521336252236,FALSE,0.25,TRUE
"rules",FALSE,50,0.982025884984143,0.899644306845545,0.954043887147335,0.935090855974292,0.856545606783716,0.004350665275225,0.0246118437882822,0.0125169337471029,0.00988268608703663,0.0219566431579948,TRUE,0.1,TRUE
"tree",FALSE,50,0.981812003886414,0.906326797385621,0.948150470219436,0.933578565168399,0.853814725717176,0.00459190236143133,0.0247334825298405,0.0130133926071273,0.0112325813289683,0.024797504014081,TRUE,0.1,TRUE
"rules",FALSE,100,0.982672653728488,0.90046439628483,0.9541065830721,0.935417219648596,0.857293765701167,0.00409086161705602,0.0235780382681608,0.0121122375311255,0.00970722863438865,0.0215464874710204,TRUE,0.1,TRUE
"tree",FALSE,100,0.982299374658294,0.90949226006192,0.949592476489028,0.935621050874337,0.85830590539239,0.00427855254902951,0.0252258127717613,0.0120804050515628,0.0104159032844449,0.0231263128583822,TRUE,0.1,TRUE
"rules",FALSE,50,0.982465367888342,0.905631922944616,0.954420062695925,0.937419389841826,0.86184967109424,0.00448489494898016,0.0234609798410318,0.0107144202490312,0.010105730788836,0.0225686184238304,FALSE,0.1,FALSE
"tree",FALSE,50,0.982297131666834,0.910666666666667,0.94871473354232,0.935458954133801,0.858065447487401,0.00453330612698241,0.0222706141341282,0.0117764298532153,0.00947953596226592,0.0209160496993009,FALSE,0.1,FALSE
"rules",FALSE,100,0.983118920603494,0.90434262125903,0.955235109717868,0.937501189432828,0.86194723084764,0.00448678245659875,0.0237261806733271,0.0114005443003237,0.010710660162353,0.0238504615265683,FALSE,0.1,FALSE
"tree",FALSE,100,0.982745477622386,0.913367733058136,0.948902821316614,0.936521263720212,0.86046752905741,0.00450727294831103,0.0229258216729098,0.0112982318061288,0.0100700205682114,0.0222825119769,FALSE,0.1,FALSE
"rules",FALSE,50,0.982789393885476,0.899653250773994,0.954670846394984,0.935498184549894,0.857364992050251,0.00379081043314451,0.0244703909793456,0.00909454834403753,0.00890046015701799,0.0201749406646165,TRUE,0.1,FALSE
"tree",FALSE,50,0.982416983974473,0.911728242174063,0.947021943573668,0.934722841283753,0.856564798620869,0.00371825771812219,0.0213530926755998,0.00918320495047464,0.00940488397787346,0.0209097287803986,TRUE,0.1,FALSE
"rules",FALSE,100,0.983251699227786,0.900476092191262,0.955862068965517,0.936560911481157,0.859672679864252,0.00362089575208713,0.0231405297280806,0.00830210853650262,0.00807696701442325,0.018329033442199,TRUE,0.1,FALSE
"tree",FALSE,100,0.98304511324411,0.913247334021328,0.94858934169279,0.936274112098827,0.859926452866249,0.00353082487218894,0.0214954836494525,0.00947873286543516,0.00876822866809913,0.0195205059102743,TRUE,0.1,FALSE
"rules",FALSE,50,0.982330065898658,0.9028173374613,0.956112852664577,0.937541254538625,0.861894523286747,0.0040928453779616,0.0280334057064492,0.0117293335008587,0.0109773744835028,0.0246079381197991,TRUE,0.25,FALSE
"tree",FALSE,50,0.982218412371823,0.913486068111455,0.948087774294671,0.936030299236259,0.859449327968121,0.00407395749614123,0.0253410042418729,0.0134372292249635,0.0105591215866835,0.0232410992807796,TRUE,0.25,FALSE
"rules",FALSE,100,0.983058140926722,0.9018782249742,0.956112852664577,0.937213972705647,0.861128701678958,0.00399313590414849,0.0302345262668211,0.0126981163266976,0.0112767424554347,0.0253260285282835,TRUE,0.25,FALSE
"tree",FALSE,100,0.982799784974761,0.914190574475404,0.949090909090909,0.936929009640666,0.861388644344639,0.00391840878282699,0.0246949064458403,0.0132780823293569,0.00932904455158566,0.0205501857330387,TRUE,0.25,FALSE
