"mtry","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","variant"
1,0.964050322807449,0.842778809769522,0.921818181818182,0.894279621050874,0.766540587936083,0.00635080564433815,0.0302714451713509,0.0161393396255593,0.0143520329838669,0.0318140802695339,3
3,0.968657722738218,0.839853457172343,0.932037617554859,0.899917783064146,0.777848399155591,0.00574145760731775,0.0293727135967656,0.015596250222801,0.0128124002940506,0.0286204040418288,3
4,0.968859466879751,0.840916408668731,0.932288401253919,0.900449480405659,0.779039193407026,0.00561479626488438,0.0303100584638685,0.0149066878433437,0.0128390449700302,0.0288209834366742,3
5,0.969133497891264,0.838216030271758,0.931786833855799,0.899182755310713,0.776130068404424,0.00571363933647336,0.0296859016312496,0.0142259960492743,0.0124652454275887,0.0280576683187359,3
6,0.969063540281646,0.838692810457516,0.931974921630094,0.899469471224072,0.776765455818554,0.00568310644440871,0.0296704788109037,0.0136164763058762,0.0120104829522616,0.0271348554583086,3
7,0.968883302977463,0.837752321981424,0.931034482758621,0.898529861024164,0.774716817576996,0.00556638805781546,0.0299499932871763,0.0135537357370547,0.0117622145249554,0.0266395865539819,3
8,0.96875377669079,0.839859649122807,0.931159874608151,0.899346604899629,0.77662097433258,0.00575039773912953,0.0308600118975932,0.0138024058289983,0.0122982368607282,0.0278602637621559,3
9,0.968743792143707,0.838458204334365,0.931159874608151,0.898857142857143,0.775503630957914,0.00566022784682624,0.0295670987614236,0.0152913438078858,0.0130383587598263,0.0291585263342354,3
10,0.968553561665551,0.838221534227726,0.930846394984326,0.898570844288636,0.774841469051813,0.00584542271244443,0.0320803580232407,0.0145583376838426,0.0124575507650498,0.0282006075861457,3
11,0.968366318248137,0.838222910216718,0.930219435736677,0.898163014899211,0.774030708826413,0.00579230172390033,0.0310966235578514,0.0156395245344031,0.01302043611795,0.0291660776951007,3
