"mtry","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","variant"
1,0.966265213251335,0.86881045751634,0.909153605015674,0.89509861858854,0.771095559464421,0.00559181364529183,0.0251097702765595,0.0184371405314275,0.0115094545639951,0.0243422644537139,4
3,0.972661883056033,0.860383212934297,0.935611285266458,0.909398689537165,0.799534564169668,0.00492858042798362,0.0256013396712076,0.0122349700545858,0.0104472571312532,0.0233658631767442,4
4,0.972885440289518,0.859799793601651,0.936238244514107,0.909604106673344,0.79991359667593,0.00498730097126164,0.0261017225441381,0.0127864118760371,0.0117704753843683,0.0262279182295731,4
5,0.973096826059247,0.86050085999312,0.936802507836991,0.910216601978215,0.80125807341676,0.00486396043918869,0.0262813342108554,0.0134252839570456,0.0112860750422139,0.0250785211062776,4
6,0.972943799045219,0.859093223254214,0.936300940438871,0.909399691164809,0.799439644841316,0.00490992159617901,0.0252962821438857,0.0135009568845942,0.0116028534741007,0.0257117835116263,4
7,0.972929116078043,0.859795665634675,0.936300940438871,0.909644338717082,0.799991607063362,0.00495086437546044,0.0262761761701409,0.0127365945995353,0.0109950979540294,0.0245667333593813,4
8,0.972871543447715,0.860501547987616,0.935423197492163,0.909318225449689,0.799382129687595,0.00487576675855371,0.0263491308912472,0.0129018005292324,0.0106641986331691,0.0238393731073492,4
9,0.972740072875655,0.86003646370829,0.934796238244514,0.90874662994032,0.798177545559326,0.00495694504877292,0.0247729922887478,0.0134199051175743,0.0121405002541053,0.0268581423984563,4
10,0.972691481916421,0.859328517371861,0.933981191222571,0.907970285046534,0.796483729152657,0.00495675313556639,0.026298474195341,0.0134409599440757,0.0121076551204201,0.0268835057637266,4
11,0.972526494797446,0.859330581355349,0.93448275862069,0.90829706606569,0.797146995987473,0.00500188405297249,0.0265867777338294,0.0126228734343532,0.0116419907414487,0.0259870593251585,4
