"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0.117504715912931,0.738056737305023,0.0669288383980157,0.00592136352479011,0.0220250079759602,0.0031351171449144,3
3,0.111576508174347,0.757958592136075,0.0614082275032634,0.00544605606843395,0.0212667475629959,0.00290293956355335,3
4,0.111167948507461,0.759156037965652,0.0608382168289392,0.00553060457546345,0.0218426056863942,0.00300202363307697,3
5,0.111158852083607,0.758882241622414,0.0605688771310596,0.00550970091186519,0.0218405405266469,0.00296517871651297,3
6,0.111298109065652,0.758032410594104,0.0604316259524563,0.00563871424994562,0.021759767327875,0.00305007507454382,3
7,0.111687305219753,0.756185205681815,0.0604929531309391,0.00562605981179387,0.022139750250254,0.0030723569709214,3
8,0.111960295760433,0.754907177968151,0.0604685650306632,0.00572754997797175,0.0226245977903197,0.00309822846119076,3
9,0.112469378663843,0.7525611303903,0.0605058325263192,0.00563711183776774,0.022493389134298,0.00308096915868689,3
10,0.112950153060933,0.750313693463757,0.0606652233394238,0.00569466450458513,0.0229964424798813,0.00310545844485385,3
11,0.113473475150834,0.747984611291241,0.0607121368912837,0.00563931847881002,0.0227016568595621,0.00310720875284457,3
