"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0.118377379383347,0.735613124814444,0.0675781802829882,0.0059862087451415,0.0227890919236524,0.00312781246481094,7
3,0.112983232690106,0.752137248927937,0.0619630264434555,0.00567854731332395,0.0226028251172802,0.00300929706130911,7
5,0.112289462924667,0.754125180079726,0.0609379210862563,0.00563920187168629,0.0228798118653587,0.00300807958185866,7
6,0.112223200359944,0.754219865593668,0.0607097758793192,0.0055105767540759,0.0224267024685827,0.00296237032252968,7
7,0.112211338306814,0.754073337991517,0.0605943394249865,0.00564211427561051,0.0228669225436042,0.00303246725030872,7
8,0.11234354981857,0.753365283334768,0.0605365148062276,0.00559526048762345,0.0230151102359886,0.00300390646307556,7
9,0.112558334581964,0.752287393039884,0.0605570003202328,0.00568056041668326,0.0232043892184079,0.00300690696035948,7
10,0.11274452751442,0.751450046117806,0.0605705123677319,0.0055502527587282,0.0232456742889984,0.00299725060481578,7
11,0.112958343398898,0.750371666567226,0.060584150242752,0.00564398798385407,0.0232315988333176,0.00301587146193957,7
13,0.113592720032536,0.747397371353561,0.0607227774538136,0.00556079080049885,0.0234707298379038,0.00303208794009785,7
15,0.114230018269265,0.744467420284004,0.0608742881297986,0.00562955909780292,0.0244605958705552,0.00309682768136923,7
