"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
13,0.117100697255077,0.749431166049756,0.0700548502443332,0.00597706662887514,0.0231735088266132,0.00296857900297307,8
39,0.109944760084254,0.769901878726759,0.0630828640436149,0.00546355086866051,0.0218658758231412,0.00283788571448238,8
59,0.109004357182539,0.771981663027014,0.0619111248671244,0.00544768694721927,0.0230142488745046,0.00282744290277754,8
64,0.108759981434191,0.772704712959287,0.0616806770078076,0.00545302010893422,0.0228566649474104,0.0028266466532983,8
84,0.108536585412248,0.7726930295653,0.0611360496524989,0.00552812896642392,0.0227190673280191,0.00291482450877267,8
91,0.108406117248881,0.773044627551084,0.0609741653353631,0.00542379851080824,0.0228676186610832,0.0028481027244737,8
106,0.108347356321328,0.772850885831154,0.0607144211191794,0.00551124958260333,0.0232115595100951,0.00298842910070953,8
110,0.108434005803933,0.772224551358149,0.0606876964233572,0.00557282609970901,0.022937138364922,0.0029351076479432,8
124,0.108648916556131,0.770964460851202,0.0606358401359819,0.00561097052238618,0.0233356837658868,0.00296102184748861,8
125,0.108607834883514,0.771149204874533,0.0606189802163878,0.00559133412075855,0.023581968198192,0.00297316935709425,8
142,0.108766070628773,0.770192281578389,0.0604833102450431,0.00549719111897932,0.0230347988050801,0.00292476642873724,8
152,0.10903592793063,0.768716630922704,0.0605491736948608,0.00558947056473577,0.023807912291928,0.00299887693166904,8
173,0.109514541626937,0.766383204933414,0.0605633722075308,0.00563649799753151,0.0242616789471927,0.00300309197270349,8
184,0.109772959270793,0.765098673752699,0.0606181928481881,0.00554893617055201,0.0241263257538045,0.00296978063245381,8
200,0.11017490778607,0.763143890287933,0.0606534598996589,0.00563099781605614,0.0245552612861994,0.00305347852342531,8
