"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0.112898619479486,0.755342708281706,0.0627374219546042,0.00574007803489756,0.0232428179493764,0.00289175823565468,2
2,0.11070338751595,0.762096545420598,0.0603810840824088,0.0055195639996804,0.0221560379403892,0.0028534264176817,2
3,0.110306753127799,0.76300641392046,0.0598075950731965,0.00549052692002153,0.0219810492626969,0.00280602741516759,2
4,0.110094490705778,0.763551510529073,0.0594746861455024,0.00551722308331405,0.0221183947056389,0.00284286348938455,2
5,0.110193060589138,0.762939137135868,0.0593349318252661,0.005447379511644,0.0218941204985351,0.00283420255037211,2
6,0.110507136537231,0.761416074335995,0.0593756034441704,0.00553465276448558,0.0222370501833575,0.00289442679874829,2
7,0.110795542817826,0.760047155080796,0.0593611988652817,0.00561025343183516,0.0222410379032639,0.00288511984215283,2
8,0.111257907237061,0.757973510215136,0.0595413019714774,0.00552945843554095,0.0221780636609457,0.00289954152570034,2
9,0.111722896594589,0.755887297077796,0.059657144687014,0.00556702413934619,0.0223041924629569,0.00288237646263088,2
10,0.112113278113544,0.754166687335309,0.0597749654910503,0.00548193074274203,0.0220741227584946,0.00287197667139566,2
