"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
2,0.119209827981155,0.734102025141601,0.0688941367502826,0.00646809424657328,0.0258259754683473,0.00351886841101611,5
5,0.111445997839167,0.759611277668186,0.0613035097141234,0.00593980773279879,0.022418183491297,0.00313105033149325,5
7,0.110552238061651,0.762187175782684,0.0602572096453225,0.0058682226461074,0.0223914065185044,0.00304222456327466,5
8,0.110288938462624,0.762924770518153,0.0599282288168883,0.00569952896385014,0.0218911833810108,0.00299020773705157,5
10,0.110075158706173,0.763511179446554,0.0595535213289133,0.00574583185103252,0.0218772372952021,0.00296692735449232,5
11,0.110166397537349,0.76293010841714,0.0594784124544406,0.00573929381152694,0.022530507151124,0.00296508531892789,5
13,0.110208527160465,0.762562301546563,0.0592359861867368,0.00585648045517906,0.0229276057713737,0.00301798732290462,5
14,0.110265436588412,0.762203166326242,0.0592408541325352,0.00569429857193691,0.0229061684590458,0.00297328955763396,5
15,0.110422488213418,0.761512744939039,0.0593024202323411,0.00567507425577998,0.0225343197393227,0.00291341897050095,5
17,0.110645766305134,0.760369782468871,0.0592485031874019,0.00576258970787862,0.023232252310801,0.0029497536291534,5
19,0.110946803801708,0.759035455485389,0.0592799413033543,0.00567342082576109,0.0228513504612567,0.00293929358757257,5
21,0.111234345972759,0.757716868569244,0.0593478185182455,0.00577653329827268,0.0233850835324703,0.00297513086130853,5
22,0.111466394501247,0.756633210861902,0.059391292844451,0.00566340255472085,0.0234096995773235,0.00290172593274078,5
24,0.111743845276211,0.755383648220912,0.059465650797717,0.0056423725247259,0.0233193352887138,0.00290812299598514,5
